word,npmi-bias,himself-npmi,himself-count,man-npmi,man-count
white,-0.19065635637878112,0.2321591817360644,1,0.4228155381148455,44
on,-0.09065667927634422,0.2219475752335968,1,0.312604254509941,22
s,-0.09017151520173777,0.2335287865742856,1,0.3237003017760234,22
and,-0.05086771425035669,0.3279399215096387,4,0.3788076357599954,57
is,-0.03315382907603842,0.2726847912611772,2,0.3058386203372156,27
you,-0.032180503029016705,0.205580727883141,1,0.2377612309121577,14
youtube,-0.022771604738381634,0.2921686342294594,1,0.314940238967841,13
with,-0.010514275555914498,0.3311783886637134,2,0.3416926642196279,23
m,-0.003680281646093353,0.314685562484159,1,0.3183658441302524,11
up,-0.003523913329589623,0.2912248940604061,1,0.2947488073899957,11
n,-0.0033612230747049887,0.2693702698528619,1,0.2727314929275669,11
there,-0.0033605335582833074,0.2692821160500044,1,0.2726426496082877,11
or,-0.0033536655501807955,0.2684059093425819,1,0.2717595748927627,11
have,-0.0029421017040272834,0.2209419484581273,1,0.2238840501621546,11
his,0.006516644746313305,0.3420226729240841,1,0.3355060281777708,10
t,0.007562123276155908,0.2661717946213722,1,0.2586096713452163,10
a,0.010177687475807329,0.4042602380713353,6,0.394082550595528,60
me,0.01890002293122439,0.2898313752371921,1,0.2709313523059677,9
my,0.01970034116874228,0.2512675258103578,1,0.2315671846416155,9
for,0.02386560323953052,0.3554248393656444,3,0.3315592361261139,27
the,0.03172625525310291,0.3905958054933838,7,0.3588695502402809,63
out,0.03198076597945379,0.2798260792023133,1,0.2478453132228595,8
www,0.04489440540522327,0.3166658899553392,1,0.2717714845501159,7
police,0.05657994299978519,0.3946300137447628,1,0.3380500707449776,6
to,0.05766032545849281,0.3916079943314874,6,0.3339476688729946,46
this,0.0578549687785585,0.3712764294271908,3,0.3134214606486323,21
in,0.05884777703959326,0.4291969586445036,6,0.3703491816049103,45
day,0.0594705307521316,0.340803473690107,1,0.2813329429379754,6
because,0.05981486825353882,0.333940838198078,1,0.2741259699445392,6
if,0.06282936790737612,0.2684059093425819,1,0.2055765414352058,6
not,0.0631024670873099,0.2618815796826141,1,0.1987791125953042,6
