word,npmi-bias,she-npmi,she-count,straight-npmi,straight-count
nothing,-0.2601967778327948,0.1307266273022058,1,0.3909234051350006,2
into,-0.2581705597669939,0.1513929311194262,2,0.4095634908864201,3
face,-0.25227250838939413,0.1792879490164362,1,0.4315604574058303,2
either,-0.2520824862245751,0.1803862368093197,1,0.4324687230338948,2
ran,-0.24267009545638202,0.2317732236849206,1,0.4744433191413026,2
all,-0.2110003475989724,0.1517049881493675,6,0.3627053357483399,4
point,-0.20212023692922532,0.2189481239508716,2,0.4210683608800969,2
male,-0.19937070235371973,0.2369129643926099,2,0.4362836667463296,2
there,-0.1938296496709837,0.1804641918340063,7,0.37429384150499,4
its,-0.1923160733892921,0.0949803922305664,1,0.2872964656198585,1
looking,-0.19069283891425332,0.1121523283833592,1,0.3028451672976125,1
https,-0.1889844337176631,0.129278639433967,1,0.3182630731516301,1
seen,-0.18868333773212786,0.1322078923319328,1,0.3208912300640607,1
tv,-0.18754378446420758,0.143074546473167,1,0.3306183309373746,1
them,-0.1875373021281052,0.1635051285493045,5,0.3510424306774097,3
ca,-0.1872853907307339,0.1454925553864866,1,0.3327779461172205,1
love,-0.1872189103846282,0.1461120298918662,1,0.3333309402764944,1
wonder,-0.1868743240971437,0.1493059523327048,1,0.3361802764298485,1
trying,-0.1868743240971437,0.1493059523327048,1,0.3361802764298485,1
problem,-0.18569504804345208,0.1600299284687228,1,0.3457249765121749,1
college,-0.18560710613360049,0.1608173673517601,1,0.3464244734853606,1
88,-0.1855178020227729,0.1616153197325117,1,0.3471331217552846,1
open,-0.1843224186971166,0.1721384318358328,1,0.3564608505329494,1
reason,-0.1843224186971166,0.1721384318358328,1,0.3564608505329494,1
almost,-0.1840968669826619,0.174092229066975,1,0.3581890960496369,1
community,-0.1840968669826619,0.174092229066975,1,0.3581890960496369,1
job,-0.183617759708365,0.1782104292662021,1,0.3618281889745671,1
com,-0.1807157393013685,0.1593137446359755,3,0.340029483937344,2
ground,-0.18014484080692092,0.2068766566286345,1,0.3870214974355554,1
wow,-0.1799151767686553,0.2087051969845162,1,0.3886203737531715,1
attention,-0.17967623474195574,0.210599458652778,1,0.3902756933947337,1
should,-0.17956826397783768,0.169540287810751,3,0.3491085517885887,2
although,-0.1783111301719746,0.2212677785617708,1,0.3995789087337454,1
tall,-0.1765342050572736,0.2347861361106757,1,0.4113203411679493,1
racially,-0.17610454993171948,0.2379962091131585,1,0.414100759044878,1
turns,-0.1745891148656339,0.2491475333289635,1,0.4237366481945974,1
older,-0.1739832477860363,0.2535343787147794,1,0.4275176265008157,1
saw,-0.17385396246313833,0.2170694426718623,3,0.3909234051350006,2
wind,-0.17330792689884678,0.2583781661824142,1,0.431686093081261,1
person,-0.17302753523373232,0.2235434807832717,3,0.396571016017004,2
stare,-0.17254496703554062,0.2637941228804734,1,0.436339089916014,1
failed,-0.17254496703554062,0.2637941228804734,1,0.436339089916014,1
who,-0.1682310695750203,0.196021354701488,6,0.3642524242765083,3
more,-0.16735193635507636,0.2034679853923755,6,0.3708199217474519,3
people,-0.1663166534669376,0.2189485190712642,9,0.3852651725382018,4
down,-0.15221552646829078,0.2136053915652248,4,0.3658209180335156,2
do,-0.14649398943538208,0.22625218469327,11,0.3727461741286521,4
you,-0.14354916653524452,0.1707711000571427,12,0.3143202665923872,4
can,-0.1401547874023376,0.2189993391584934,8,0.359154126560831,3
any,-0.13969659627397582,0.1370249028365447,2,0.2767214991105205,1
their,-0.1396704177410492,0.1505229256900672,5,0.2901933434311164,2
us,-0.13948701347701,0.1397251256064451,2,0.2792121390834551,1
than,-0.139428174501787,0.1404795757737026,2,0.2799077502754896,1
over,-0.13856334881489107,0.1513929311194262,2,0.2899562799343173,1
anyone,-0.13776323489932826,0.1612138701183682,2,0.2989771050176965,1
much,-0.1376781232605237,0.1622438792529181,2,0.2999220025134418,1
with,-0.13720736571326908,0.2465318613340095,16,0.3837392270472786,5
what,-0.13690123913659788,0.1822647789530746,5,0.3191660180896725,2
guy,-0.1346722961474171,0.1970155880432225,2,0.3316878841906396,1
5,-0.1344535328300532,0.1994358629234396,2,0.3338893957534928,1
once,-0.13416544359759572,0.202602466541319,2,0.3367679101389147,1
