word,npmi-bias,her-npmi,her-count,his-npmi,his-count
his,-0.4283893547631139,0.246078750807768,8,0.6744681055708819,199
he,-0.21409842477709629,0.2169650044358204,8,0.4310634292129167,45
wife,-0.19877643563401168,0.1812971759177526,1,0.3800736115517643,10
him,-0.17691214680018497,0.2516747534271817,7,0.4285869002273667,32
these,-0.1768861585873121,0.0611169996924003,1,0.2380031582797124,7
news,-0.1608033462036354,0.0846726822356001,1,0.2454760284392355,6
god,-0.14159783581774432,0.1244046486671533,1,0.2660024844848976,5
crime,-0.140888895239848,0.1341713283353302,1,0.2750602235751782,5
call,-0.1395299040308386,0.1521149981770965,1,0.2916449022079351,5
always,-0.1240723526403903,0.0941949760327988,1,0.2182673286731891,4
maybe,-0.12339035092041001,0.1061895705951916,1,0.2295799215156016,4
someone,-0.12308656506857521,0.1113788171579104,1,0.2344653822264856,4
bad,-0.1226186085726392,0.1192025920264494,1,0.2418212005990886,4
jews,-0.12240300606899918,0.1535716414015446,2,0.2759746474705438,7
under,-0.12051975055623121,0.1521149981770965,1,0.2726347487333277,4
blood,-0.12038975722659462,0.1540510701420501,1,0.2744408273686447,4
proud,-0.12032282405693306,0.1550437735221895,1,0.2753665975791226,4
teacher,-0.11866611124071069,0.2036098445533565,2,0.3222759557940672,7
latest,-0.1158296441632029,0.2162724336970454,1,0.3321020778602483,4
even,-0.10966177335104532,0.129124428608635,2,0.2387862019596803,6
look,-0.1092251090026799,0.1365578004814003,2,0.2457829094840802,6
your,-0.1054788075530872,0.1329303084341942,5,0.2384091159872814,12
only,-0.10193821118989382,0.1883334799558229,5,0.2902716911457167,12
whites,-0.1016527815385966,0.0485578498553355,1,0.1502106313939321,3
kid,-0.09970433377085969,0.2282378022301576,3,0.3279421360010173,8
which,-0.0994315880370226,0.1005436278437333,1,0.1999752158807559,3
long,-0.0989403109981673,0.1108895705505882,1,0.2098298815487555,3
read,-0.0988444566416572,0.112869172196503,1,0.2117136288381602,3
thank,-0.09881993146546071,0.1133737069059642,1,0.2121936383714249,3
forum,-0.0986677391190843,0.1164870535995198,1,0.2151547927186041,3
part,-0.09814994411736849,0.1268625469007189,1,0.2250124910180874,3
nationalist,-0.0980856356795026,0.1281288008006838,1,0.2262144364801864,3
else,-0.098052890544152,0.1287717362547365,1,0.2268246267988885,3
