word,gay-npmi
000,0.3116575655709478
100,0.3161675396474623
100yrs,0.4583216697345582
12,0.3326143500559421
20,0.3171170182430329
70,0.3694352282631972
9,0.3200719251434852
a,0.3185280405536974
abomination,0.4150039721576905
abortion,0.4009934769690955
about,0.1808148946377946
absolut,0.4583216697345582
absolute,0.382357289307344
abusive,0.4245535929759084
across,0.3190684929780839
action,0.3395282081788679
actors,0.4150039721576905
adopt,0.4009934769690955
advocate,0.4073755921177137
advocates,0.4374955473279124
agree,0.338066692043886
alive,0.3906388455418885
all,0.266386609973114
alliance,0.382357289307344
an,0.2041660570800269
and,0.3426108028061029
anti,0.4487934398911301
any,0.2303613121439393
apparently,0.3551335293325131
are,0.374511655462606
around,0.242301429055201
artists,0.4073755921177137
as,0.3056104596524184
aside,0.4150039721576905
assume,0.4073755921177137
at,0.2855405370323465
attend,0.3754217905526198
attended,0.4009934769690955
b,0.3265334751645087
back,0.2292298231880766
bagly,0.4583216697345582
bbc,0.3617297305324054
be,0.2225641675538312
beating,0.3862954197874064
beautiful,0.3059150773895706
because,0.3435654563470742
behind,0.3190684929780839
believe,0.2979486935218571
below,0.3475694225157413
better,0.2897877239584356
bisexual,0.4583216697345582
bite,0.4009934769690955
blasphemied,0.4583216697345582
blogger,0.4583216697345582
blood,0.3134163766099798
bondage,0.4583216697345582
book,0.3200719251434852
boston,0.4432872774575441
brother,0.3288797483035058
brown,0.2903758635860459
btw,0.3572300612390683
bucharest,0.4583216697345582
budapest,0.4073755921177137
bulgarian,0.382357289307344
but,0.2696359246510539
by,0.2661766556423075
called,0.302152290583169
care,0.3091221134457633
charity,0.4583216697345582
children,0.3787406693376116
christ,0.3551335293325131
cities,0.3512013387422007
city,0.4264274975330384
clad,0.4583216697345582
classes,0.3572300612390683
cleansed,0.4374955473279124
closed,0.382357289307344
cocktail,0.4583216697345582
come,0.2667991684867617
commission,0.4374955473279124
community,0.3789443112828268
company,0.3475694225157413
complain,0.3862954197874064
constantly,0.4009934769690955
council,0.3862954197874064
country,0.2535527207399053
crime,0.2953110512667621
criminal,0.3551335293325131
croatian,0.3906388455418885
crossdressers,0.4583216697345582
cry,0.4009934769690955
crying,0.4150039721576905
cultural,0.3641558927637921
culture,0.307495124141846
cwpv,0.4583216697345582
damnit,0.4583216697345582
date,0.359425265523159
dating,0.382357289307344
day,0.2391127293173303
defenseless,0.4583216697345582
demand,0.4374955473279124
designers,0.4374955473279124
desire,0.4245535929759084
destroyed,0.3862954197874064
destroying,0.4150039721576905
destroys,0.4150039721576905
do,0.311483384651383
done,0.3059150773895706
doorman,0.4583216697345582
down,0.2470978748650735
drag,0.3906388455418885
drug,0.3458514332334042
drugs,0.372327527646395
dude,0.3862954197874064
dying,0.4245535929759084
ending,0.4245535929759084
entertainment,0.3862954197874064
essay,0.4009934769690955
ethnically,0.4374955473279124
even,0.3109417374610052
event,0.4469947365571956
events,0.3531265776680795
ever,0.2625623962620298
exatly,0.4583216697345582
exist,0.3617297305324054
existent,0.4583216697345582
expressed,0.4245535929759084
face,0.3190684929780839
fag,0.3787510227464202
family,0.3550373950852266
famous,0.3754217905526198
fashion,0.4073755921177137
fashionable,0.4245535929759084
featuring,0.3954892471925377
fights,0.3906388455418885
fine,0.3617297305324054
first,0.3231548763674664
florida,0.3551335293325131
foot,0.3694352282631972
for,0.3102720307063573
force,0.338066692043886
forced,0.3512013387422007
francisco,0.3862954197874064
friends,0.349768091614246
from,0.3930186576832394
full,0.3755997575327099
future,0.3125297991722355
gay,0.7119961014565707
gays,0.4469923299727655
genocide,0.3253992364343532
girlfriends,0.4374955473279124
glad,0.3395282081788679
glbt,0.4583216697345582
god,0.2863788706607983
government,0.2993151866511928
grandmother,0.4009934769690955
great,0.2488777721240473
