word,npmi-bias,gay-npmi,gay-count,man-npmi,man-count
man,-0.42158873224428106,0.2671990310042123,1,0.6887877632484933,122
like,-0.18933569683047058,0.1581211733732094,1,0.34745687020368,21
white,-0.1461976351152383,0.2766179029996072,4,0.4228155381148455,44
i,-0.12288349856601918,0.1726839646987878,4,0.295567463264807,36
an,-0.107641306253314,0.2041660570800269,1,0.3118073633333409,11
me,-0.08629716757733691,0.1846341847286308,1,0.2709313523059677,9
a,-0.07555451004183061,0.3185280405536974,10,0.394082550595528,60
here,-0.043127993897087186,0.1942590017110966,1,0.2373869956081838,6
time,-0.04253242931485282,0.2246695232264159,1,0.2672019525412687,6
day,-0.0422202136206451,0.2391127293173303,1,0.2813329429379754,6
there,-0.039231403056533914,0.2334112465517538,2,0.2726426496082877,11
one,-0.0387554792918029,0.2563483149879553,2,0.2951037942797582,11
by,-0.03853795691856726,0.2661766556423075,2,0.3047146125608748,11
m,-0.03821465803141838,0.280151186098834,2,0.3183658441302524,11
and,-0.03619683295389248,0.3426108028061029,12,0.3788076357599954,57
he,-0.027636814229950124,0.2808250738851172,2,0.3084618881150673,10
his,-0.02715703646121742,0.3083489917165534,2,0.3355060281777708,10
was,-0.026040213498389586,0.2944540472351808,4,0.3204942607335704,19
about,-0.024932375735321588,0.1808148946377946,1,0.2057472703731162,5
our,-0.02477263005027769,0.1980957739850262,1,0.2228684040353039,5
should,-0.02444670536743912,0.2290057342516891,1,0.2534524396191282,5
men,-0.02354470231504363,0.2972776711293206,1,0.3208223734443642,5
for,-0.021287205419756594,0.3102720307063573,6,0.3315592361261139,27
be,-0.016617618361864678,0.2225641675538312,2,0.2391817859156959,9
has,-0.016132896454967294,0.2834110779089208,2,0.2995439743638881,9
out,-0.0035900658066475855,0.2442552474162119,2,0.2478453132228595,8
would,-0.0031149499406481207,0.1872459344625401,1,0.1903608844031882,4
back,-0.0031051007683579046,0.2292298231880766,1,0.2323349239564345,4
now,-0.003102296293958612,0.2353284949928119,1,0.2384307912867705,4
non,-0.0030871313459825966,0.2603668053595391,1,0.2634539367055217,4
brown,-0.003061221762960531,0.2903758635860459,1,0.2934370853490064,4
crime,-0.0030561535767114067,0.2953110512667621,1,0.2983672048434735,4
in,0.004959006713022462,0.3753081883179328,12,0.3703491816049103,45
or,0.006175176467720589,0.2779347513604833,3,0.2717595748927627,11
all,0.006231433929848262,0.266386609973114,3,0.2601551760432657,11
on,0.00721473770100961,0.3198189922109506,6,0.312604254509941,22
the,0.008055227446772395,0.3669247776870533,17,0.3588695502402809,63
old,0.010234540689458504,0.306593848210513,2,0.2963593075210545,7
no,0.010529040503094778,0.2672907979249346,2,0.2567617574218398,7
to,0.015307658353594211,0.3492553272265888,13,0.3339476688729946,46
dating,0.02099252275415947,0.382357289307344,1,0.3613647665531845,3
force,0.021790569845418994,0.338066692043886,1,0.316276122198467,3
sorry,0.022165583407255274,0.3152346794336491,1,0.2930690960263938,3
with,0.022179801132796495,0.3638724653524244,7,0.3416926642196279,23
true,0.022235569507908892,0.310799181717965,1,0.2885636122100561,3
nice,0.0224019017564569,0.3000110950503858,1,0.2776091932939289,3
work,0.022665575003935012,0.2821223288815718,1,0.2594567538776368,3
place,0.022722051415446587,0.2781514807557532,1,0.2554294293403066,3
watch,0.023055315373434526,0.2535527207399053,1,0.2304974053664708,3
look,0.02309991088860419,0.2500918886982128,1,0.2269919778096086,3
great,0.023115421862462404,0.2488777721240473,1,0.2257623502615849,3
down,0.02313803531710562,0.2470978748650735,1,0.2239598395479679,3
around,0.023198230106328294,0.242301429055201,1,0.2191031989488727,3
what,0.02371542499941351,0.1967951157977903,1,0.1730796907983768,3
young,0.02442561177791769,0.3747963099624649,2,0.3503706981845472,6
s,0.02841152901852223,0.3521118307945456,7,0.3237003017760234,22
as,0.04066984134755092,0.3056104596524184,4,0.2649406183048675,11
so,0.0416008416716524,0.2869969161341534,3,0.245396074462501,8
at,0.04163772014430661,0.2855405370323465,3,0.2439028168880399,8
you,0.041675975148919714,0.2794372060610774,5,0.2377612309121577,14
have,0.0416759981463343,0.2655600483084889,4,0.2238840501621546,11
but,0.042028101135160506,0.2696359246510539,3,0.2276078235158934,8
it,0.04235706708679171,0.3114057652599964,7,0.2690486981732047,20
we,0.0455504264552678,0.2308256648221037,2,0.1852752383668359,5
youtube,0.04801082241403709,0.3629510613818781,5,0.314940238967841,13
that,0.0483551928947768,0.3585699924174608,9,0.310214799522684,25
this,0.053792135309365774,0.3672135959579981,8,0.3134214606486323,21
kill,0.055481214831093584,0.3313387637323238,1,0.2758575489012302,2
brother,0.055576100107691984,0.3288797483035058,1,0.2733036481958138,2
will,0.05592816814081758,0.2860229890669719,3,0.2300948209261543,7
p,0.055947052730667246,0.3190684929780839,1,0.2631214402474166,2
20,0.056019381986260774,0.3171170182430329,1,0.2610976362567721,2
future,0.056187504400662,0.3125297991722355,1,0.2563422947715735,2
together,0.05685960815567709,0.2934101736311624,1,0.2365505654754853,2
racist,0.05690136904108209,0.2921771536484656,1,0.2352757846073835,2
