word,npmi-bias,her-npmi,her-count,she-npmi,she-count
she,-0.1922244435573407,0.4778175898230653,61,0.670042033380406,167
something,-0.16775685027599452,0.1044002858460218,1,0.2721571361220163,6
teacher,-0.1404060164759653,0.2036098445533565,2,0.3440158610293218,8
news,-0.1317153713034665,0.0846726822356001,1,0.2163880535390666,4
gets,-0.1279476870542791,0.159193982916155,1,0.2871416699704341,4
maybe,-0.10587697958414169,0.1061895705951916,1,0.2120665501793333,3
bad,-0.1053993271043667,0.1192025920264494,1,0.2246019191308161,3
food,-0.10381421318168446,0.1570816242423745,1,0.260895837424059,3
mixed,-0.10361580874690371,0.1613869531948864,1,0.2650027619417901,3
movies,-0.10239425652905138,0.1863170648879221,1,0.2887113214169735,3
bag,-0.1003737760219307,0.2229863196519829,1,0.3233600956739136,3
goes,-0.09718848560176038,0.2055420751205895,2,0.3027305607223499,5
looks,-0.08298019158217829,0.2149438995746365,3,0.2979240911568148,6
says,-0.08261936534494779,0.2227079140602209,3,0.3053272794051687,6
because,-0.08080374975432861,0.2245523690333376,7,0.3053561187876662,12
great,-0.08018566897370752,0.1352620363451109,2,0.2154477053188184,4
look,-0.0801466425725873,0.1365578004814003,2,0.2167044430539876,4
class,-0.07748345754816552,0.2106791958340836,2,0.2881626533822491,4
hope,-0.0752351013212694,0.1996448357761226,4,0.274879937097392,7
whites,-0.0734931782124559,0.0485578498553355,1,0.1220510280677914,2
anyone,-0.07282063657117512,0.0883932335471931,1,0.1612138701183682,2
much,-0.07279986567316311,0.089444013579755,1,0.1622438792529181,2
stormfront,-0.07254388878981799,0.1018043563146476,1,0.1743482451044656,2
really,-0.0724678519137076,0.1052888330746886,1,0.1777566849883962,2
long,-0.07234206900984638,0.1108895705505882,1,0.1832316395604346,2
start,-0.07229655981645111,0.112869172196503,1,0.1851657320129541,2
read,-0.07229655981645111,0.112869172196503,1,0.1851657320129541,2
thank,-0.07228487332444451,0.1133737069059642,1,0.1856585802304087,2
use,-0.07227305849321021,0.1138822262377766,1,0.1861552847309868,2
forum,-0.07221197121939729,0.1164870535995198,1,0.1886990248189171,2
group,-0.07206433670905368,0.1226225068581927,1,0.1946868435672464,2
else,-0.0719110958393808,0.1287717362547365,1,0.2006828320941173,2
high,-0.07189459767626322,0.1294214071077621,1,0.2013160047840253,2
once,-0.0718608911518342,0.1307415753894848,1,0.202602466541319,2
different,-0.07167642693586321,0.1378048062092565,1,0.2094812331451197,2
least,-0.0715940291825147,0.1408768564518783,1,0.212470885634393,2
support,-0.07148270987769101,0.1449516791641152,1,0.2164343890418062,2
end,-0.07136064400684469,0.14932586688606,1,0.2206865108929047,2
whole,-0.07133477184740972,0.1502409417951759,1,0.2215757136425856,2
seems,-0.07130837158771819,0.1511704854038926,1,0.2224788569916108,2
yeah,-0.0712814233389889,0.1521149981770965,1,0.2233964215160854,2
light,-0.07125390608499008,0.1530750075925761,1,0.2243289136775662,2
join,-0.07125390608499008,0.1530750075925761,1,0.2243289136775662,2
speak,-0.07116771134318642,0.1560537390377948,1,0.2272214503809812,2
picture,-0.07116771134318642,0.1560537390377948,1,0.2272214503809812,2
7,-0.07097649225061081,0.1625157901949896,1,0.2334922824456004,2
thats,-0.0708321256255133,0.1672697443381548,1,0.2381018699636681,2
gone,-0.07079353068180891,0.1685235064731637,1,0.2393170371549726,2
means,-0.07071296000859598,0.1711184258607827,1,0.2418313858693787,2
info,-0.07071296000859598,0.1711184258607827,1,0.2418313858693787,2
example,-0.07053642312744718,0.1767024764079143,1,0.2472388995353615,2
telling,-0.07010056427723671,0.1899451319500906,1,0.2600456962273273,2
swedish,-0.06989668303782459,0.1959004263957067,1,0.2657971094335313,2
x202a,-0.06989668303782459,0.1959004263957067,1,0.2657971094335313,2
x202c,-0.06989668303782459,0.1959004263957067,1,0.2657971094335313,2
till,-0.06982203524457012,0.1980459529545264,1,0.2678679881990965,2
gonna,-0.06982203524457012,0.1980459529545264,1,0.2678679881990965,2
main,-0.0697434974456985,0.2002839129694801,1,0.2700274104151786,2
rlm,-0.0697434974456985,0.2002839129694801,1,0.2700274104151786,2
certainly,-0.0696606662409372,0.2026232603438401,1,0.2722839265847773,2
welfare,-0.06957307258514217,0.2050743480522944,1,0.2746474206374366,2
quickly,-0.06948016676358212,0.2076492392768177,1,0.2771294060403998,2
leaves,-0.06927569261099639,0.2132297838077323,1,0.2825054764187287,2
obviously,-0.06916241105459447,0.2162724336970454,1,0.2854348447516399,2
needed,-0.0690403082882817,0.2195145574429774,1,0.2885548657312591,2
burn,-0.06890796283968109,0.2229863196519829,1,0.291894282491664,2
warm,-0.06890796283968109,0.2229863196519829,1,0.291894282491664,2
became,-0.06890796283968109,0.2229863196519829,1,0.291894282491664,2
creatures,-0.06890796283968109,0.2229863196519829,1,0.291894282491664,2
idiot,-0.06876358163519589,0.2267254718167879,1,0.2954890534519838,2
nigeria,-0.0686048582443552,0.2307801668448255,1,0.2993850250891807,2
fair,-0.0684287563721522,0.2352132252962996,1,0.3036419816684518,2
worked,-0.0684287563721522,0.2352132252962996,1,0.3036419816684518,2
personally,-0.0682311656622139,0.2401088624228536,1,0.3083400280850675,2
nigerian,-0.0680063272042079,0.2455838165117697,1,0.3135901437159776,2
kicked,-0.0680063272042079,0.2455838165117697,1,0.3135901437159776,2
same,-0.06789859665255929,0.1684073831379902,3,0.2363059797905495,5
popular,-0.0677458148287291,0.2518068891920725,1,0.3195527040208016,2
ll,-0.0676630548954977,0.1762150958889765,3,0.2438781507844742,5
dont,-0.06757217760436202,0.179158279183511,3,0.246730456787873,5
not,-0.067555305854051,0.2092292080021127,13,0.2767845138561637,18
gorgeous,-0.0674365831505605,0.2590359782343009,1,0.3264725613848614,2
stormed,-0.06656575665931175,0.2785659300028224,1,0.3451316866621342,2
misunderstood,-0.06656575665931175,0.2785659300028224,1,0.3451316866621342,2
sorry,-0.06625687994097712,0.2804433525402444,5,0.3467002324812215,8
has,-0.06597842424586353,0.2312171556551595,9,0.297195579901023,13
think,-0.06536866064475283,0.2031402211473919,6,0.2685088817921447,9
if,-0.06443530051052812,0.2317570480406652,15,0.2961923485511933,20
but,-0.06252304552760027,0.2370907276619539,17,0.2996137731895542,22
now,-0.06114975844226489,0.1778070281743627,4,0.2389567866166276,6
say,-0.05650543443820388,0.1951498491105269,5,0.2516552835487308,7
too,-0.056369944651880693,0.1999996132332502,5,0.2563695578851309,7
even,-0.05516992097855222,0.129124428608635,2,0.1842943495871872,3
why,-0.054872334113180904,0.1441608593208176,2,0.1990331934339985,3
non,-0.05480222804904608,0.1475359625240293,2,0.2023381905730754,3
times,-0.054463706397260725,0.1630807225866117,2,0.2175444289838724,3
again,-0.0542319640504888,0.173098180018062,2,0.2273301440685508,3
must,-0.054103405434807406,0.1784661934227515,2,0.2325695988575589,3
until,-0.053833381181716294,0.1893503754561785,2,0.2431837566378948,3
just,-0.05313304929922533,0.2236869708845268,13,0.2768200201837521,16
turning,-0.051491327746722104,0.2685996463334225,2,0.3200909740801446,3
was,-0.0504128763682965,0.3328351192281375,40,0.383247995596434,44
like,-0.050060588122138094,0.2485048357602515,18,0.2985654238823896,21
is,-0.0499219393382076,0.3116178497279379,54,0.3615397890661455,57
n,-0.049913442715969925,0.2532382179918742,18,0.3031516607078441,21
place,-0.0470088527816426,0.198750414377951,3,0.2457592671595936,4
week,-0.046590542704168486,0.2162826598057951,3,0.2628732025099636,4
so,-0.04622419072744019,0.2172135406059457,12,0.2634377313333859,14
or,-0.04583758391740758,0.2161485541888016,13,0.2619861381062092,15
had,-0.045531014510938106,0.2621722154056136,11,0.3077032299165517,13
m,-0.04445504969441441,0.1525141957535644,4,0.1969692454479788,5
t,-0.044022360194566484,0.2499058218246277,18,0.2939281820191942,20
day,-0.043909027058678496,0.1817656222089806,4,0.2256746492676591,5
out,-0.04389014742203601,0.2576776150231182,17,0.3015677624451542,19
from,-0.0436941389054149,0.2617489249914286,18,0.3054430638968435,20
came,-0.04262103944630238,0.2393407370284624,4,0.2819617764747648,5
beautiful,-0.04230468409564453,0.2518220685141406,4,0.2941267526097851,5
know,-0.0419058181372671,0.1792804113036016,5,0.2211862294408687,6
only,-0.041732083924854696,0.1883334799558229,5,0.2300655638806776,6
never,-0.0413724064399158,0.2060715921398765,5,0.2474439985797923,6
hair,-0.040273860355398206,0.253978240839143,5,0.2942521011945412,6
thing,-0.03924520995136721,0.2451211153761263,6,0.2843663253274935,7
how,-0.03918982830067541,0.2105301524840293,7,0.2497199807847047,8
where,-0.0386608613380503,0.2353605231009927,7,0.274021384439043,8
got,-0.038610246641580886,0.2376264541868798,7,0.2762367008284607,8
do,-0.03855387762452289,0.1876983070687471,10,0.22625218469327,11
did,-0.03846662142298388,0.2439632906823139,7,0.2824299121052978,8
school,-0.03819900676587901,0.2324420748111406,8,0.2706410815770196,9
get,-0.037412623514916726,0.238000341474962,12,0.2754129649898787,13
my,-0.03353787632457861,0.2734234983624097,25,0.3069613746869883,25
no,-0.027668391700870376,0.2248583306487032,10,0.2525267223495736,10
people,-0.027523584194080408,0.1914249348771838,9,0.2189485190712642,9
there,-0.02656414200224691,0.1539000498317594,7,0.1804641918340063,7
an,-0.025450558401630408,0.1817881526839979,6,0.2072387110856283,6
