word,straight-pmi
the,3.01468634345023
to,2.5523082542270346
i,2.425314415691182
and,3.176944641349292
a,2.964030048227225
of,2.699900761430596
in,2.713214995736972
is,2.903258598624836
it,3.307968932751965
that,2.190225885777783
you,2.943156073499236
for,3.026274647249836
are,2.418564253969097
have,2.4530047439493887
on,3.159720653715403
they,2.4713663614815093
this,2.567088431179761
white,3.299516749679253
s,3.030867765659301
with,3.720019735151958
was,3.2693403787326254
my,2.8782050961792858
all,3.6540617673601608
be,2.295010861851377
as,3.4371338349636704
not,2.342133831981474
like,3.4851430541500306
t,3.100060817309067
do,3.815329914956283
or,3.13409551591258
if,3.13409551591258
there,3.840647722940573
n,3.148850981478499
their,3.191645641144587
just,3.649220946140151
at,3.656678102248233
will,2.565578996930906
from,3.2754566057500614
your,2.605584331544606
out,3.716835019084438
people,4.023779324331272
them,3.784239327886252
about,3.413379748955563
me,3.471367006605913
up,3.494009483355672
one,3.499751125923347
can,3.920690430614109
get,3.5879846767883734
who,4.008233581080774
here,2.9267890960350305
by,2.964279704950529
what,3.65967660524449
when,4.065141713352654
no,3.675567972581124
black,3.708128988630437
more,4.123095355862741
an,3.776615402775593
see,3.130108799668758
good,3.146151924509334
he,3.2072820649143416
www,3.2304715098332526
has,3.2512129941400687
com,4.022159890778969
go,3.3387688851643884
time,3.420446916178656
her,3.4528821919318093
only,3.4528821919318093
then,4.146029372491754
should,4.1871566639156175
any,3.5171765426372064
us,3.561095776572042
say,3.5651857618235674
than,3.573416260960083
few,3.573416260960083
now,3.60276847297261
old,3.65967660524449
day,3.668726440764408
its,3.705767712444757
kids,3.7104958536407024
year,3.7104958536407024
years,3.720019735151958
around,3.724815907415451
over,3.754086289715565
into,4.852698578383674
got,4.457183801128678
down,4.503227739630084
could,3.810080559070139
video,3.82591202428682
news,3.858347300039974
find,3.863856955850944
look,3.863856955850944
did,3.874968181276014
anyone,3.920690430614109
own,3.932455272193696
much,3.93839000771351
looking,3.9934497848965376
him,4.012497979867232
off,4.02540138470314
world,4.031916065724333
two,4.106526929515509
thing,4.149699101380717
said,4.1871566639156175
something,4.1948195366611865
ago,4.202541582755097
https,4.291669362651104
nothing,5.010569039313465
saw,5.010569039313465
seen,4.3438551158216745
went,5.055020801884298
eyes,5.120772179447078
person,5.130528354392443
keep,4.4980057956489325
please,4.508477095516228
town,4.508477095516228
tv,4.540565410067729
god,5.244641661159864
guy,4.5625443167865045
ca,4.585017172638563
love,4.596445868462186
5,4.608006690863261
hair,4.619702730626453
nationalist,4.619702730626453
trying,4.655634739852516
wonder,4.655634739852516
once,4.66790483244433
life,4.680327352442888
woman,4.680327352442888
looks,4.692906134649747
left,5.411695745823031
half,4.82824748251951
problem,4.857661367725803
college,4.872699245090344
88,4.887966717221132
getting,4.951480122943458
point,5.677963723770995
run,5.055020801884298
full,5.055020801884298
wait,5.055020801884298
without,5.055020801884298
weeks,5.073369940552495
reason,5.092062073564647
open,5.092062073564647
almost,5.130528354392443
community,5.130528354392443
job,5.21220638540671
gets,5.21220638540671
oh,5.21220638540671
face,5.92685977118762
head,5.255691497346449
band,5.255691497346449
local,5.255691497346449
either,5.948838677906394
pass,5.324684368833401
male,6.041929100972407
stand,5.373474533002833
power,5.373474533002833
download,5.451436074472545
info,5.451436074472545
texas,5.478835048660659
green,5.507005925627356
groups,5.507005925627356
knew,5.565846425650289
force,5.661156605454614
fear,5.695058157130295
summer,5.76651712111244
ground,5.804257449095287
event,5.804257449095287
security,5.8434781622485685
wow,5.8434781622485685
add,5.8434781622485685
cross,5.8434781622485685
language,5.8434781622485685
attention,5.884300156768823
san,5.92685977118762
throw,5.9713115337584535
forward,5.9713115337584535
straight,9.062353987116769
promote,6.017831549393346
air,6.066621713562778
simple,6.066621713562778
ass,6.066621713562778
doubt,6.066621713562778
although,6.117915007950328
aids,6.117915007950328
normal,6.171982229220604
19,6.171982229220604
stopped,6.171982229220604
road,6.229140643060553
station,6.229140643060553
yahoo,6.354303786014559
ran,7.047450966574504
floor,6.423296657501511
sex,6.423296657501511
tall,6.423296657501511
dot,6.497404629655232
racially,6.497404629655232
shop,6.497404629655232
himself,6.577447337328769
became,6.577447337328769
bag,6.577447337328769
beliefs,6.577447337328769
issue,6.577447337328769
blonde,6.577447337328769
appreciate,6.577447337328769
broke,6.664458714318399
ammo,6.664458714318399
centre,6.664458714318399
catch,6.759768894122724
turns,6.759768894122724
28,6.759768894122724
homosexuals,6.759768894122724
waiting,6.759768894122724
contact,6.759768894122724
negroid,6.759768894122724
homosexual,6.8651294097805495
francisco,6.8651294097805495
tests,6.8651294097805495
older,6.8651294097805495
eh,6.982912445436933
wind,6.982912445436933
meat,6.982912445436933
hilarious,6.982912445436933
powerful,6.982912445436933
barely,6.982912445436933
mid,6.982912445436933
failed,7.116443838061456
stare,7.116443838061456
havent,7.116443838061456
successful,7.116443838061456
guard,7.270594517888714
files,7.270594517888714
positive,7.270594517888714
percentage,7.270594517888714
immediately,7.270594517888714
hiv,7.270594517888714
austin,7.270594517888714
pub,7.452916074682669
loyal,7.452916074682669
holidays,7.452916074682669
fell,7.452916074682669
explanation,7.452916074682669
signature,7.676059625996879
chasing,7.676059625996879
steps,7.9637416984486595
shoplifter,7.9637416984486595
cheese,7.9637416984486595
equally,7.9637416984486595
deviant,7.9637416984486595
diablo,7.9637416984486595
sexuality,8.369206806556823
meaningless,8.369206806556823
116,8.369206806556823
haymaker,8.369206806556823
kazaa,8.369206806556823
laced,8.369206806556823
wayne,8.369206806556823
lithuanian,8.369206806556823
cooked,8.369206806556823
forbid,8.369206806556823
chased,8.369206806556823
dope,8.369206806556823
40s,8.369206806556823
ged,8.369206806556823
perverts,8.369206806556823
thief,8.369206806556823
gaurd,8.369206806556823
divine,8.369206806556823
weber,9.062353987116769
psychos,9.062353987116769
sicilian,9.062353987116769
triggered,9.062353987116769
tripped,9.062353987116769
skinranger,9.062353987116769
thebest,9.062353987116769
uncontrollable,9.062353987116769
seventh,9.062353987116769
devoid,9.062353987116769
899,9.062353987116769
anchors,9.062353987116769
berber,9.062353987116769
buddylist,9.062353987116769
buisiness,9.062353987116769
booming,9.062353987116769
breech,9.062353987116769
linkedin,9.062353987116769
laughter,9.062353987116769
orientation,9.062353987116769
methinks,9.062353987116769
infiltrate,9.062353987116769
heterosexual,9.062353987116769
hetrosexuality,9.062353987116769
hk,9.062353987116769
