word,npmi-bias,he-npmi,he-count,himself-npmi,himself-count
himself,-0.497412174374805,0.2525000155577136,2,0.7499121899325186,12
expressed,-0.31469930056590284,0.2610138323762697,1,0.5757131329421725,2
https,-0.2801572341845679,0.0921615278613187,1,0.3723187620458866,1
forum,-0.2791840306610175,0.0987076831979309,1,0.3778917138589484,1
org,-0.2789416448114141,0.1003187610200016,1,0.3792604058314157,1
everyone,-0.27565137038742477,0.1214932470685176,1,0.3971446174559424,1
future,-0.2734137882557617,0.1352303523296223,1,0.408644140585384,1
reason,-0.2734137882557617,0.1352303523296223,1,0.408644140585384,1
100,-0.27274655797899017,0.1392339371976888,1,0.411980495176679,1
tried,-0.2708030948863976,0.1506716419301829,1,0.4214747368165805,1
nordic,-0.270581771863704,0.1519540008447359,1,0.4225357727084399,1
set,-0.2701210400714976,0.1546108140414885,1,0.4247318541129861,1
moment,-0.2666666691625957,0.1740166493297413,1,0.440683318492337,1
straight,-0.2655307108562456,0.1802139995771872,1,0.4457447104334328,1
trouble,-0.26373635468623147,0.1898333100014528,1,0.4535696646876842,1
gotten,-0.263222464330938,0.1925515581348793,1,0.4557740224658173,1
false,-0.2626759098496441,0.1954253217553395,1,0.4581012316049836,1
protect,-0.2626759098496441,0.1954253217553395,1,0.4581012316049836,1
entertainment,-0.2583726192667055,0.2174693650254091,1,0.4758419842921146,1
pieces,-0.25348483555494206,0.241385611753937,1,0.4948704473088791,1
blew,-0.25165082843588876,0.2500865766313553,1,0.5017374050672441,1
bomber,-0.25165082843588876,0.2500865766313553,1,0.5017374050672441,1
pounds,-0.25165082843588876,0.2500865766313553,1,0.5017374050672441,1
suicide,-0.24930585313072234,0.2610138323762697,1,0.510319685506992,1
iraq,-0.24930585313072234,0.2610138323762697,1,0.510319685506992,1
dynamite,-0.2460405265279852,0.2758851054843536,1,0.5219256320123388,1
abraham,-0.2460405265279852,0.2758851054843536,1,0.5219256320123388,1
lied,-0.2460405265279852,0.2758851054843536,1,0.5219256320123388,1
accusation,-0.24057399316741507,0.2999676259941186,1,0.5405416191615336,1
