word,npmi-bias,man-npmi,man-count,woman-npmi,woman-count
woman,-0.30613855712318616,0.3945554835061129,11,0.7006940406292991,75
2,-0.1626263105956033,0.1486022987883279,1,0.3112286093839312,4
her,-0.15743113640253747,0.2510615076621747,5,0.4084926440647122,13
who,-0.1535564053500072,0.2522384495064998,7,0.405794854856507,16
own,-0.1353075637560581,0.1402602123541095,1,0.2755677761101676,3
good,-0.1345322407715527,0.1844652914513192,3,0.3189975322228719,7
negro,-0.1335193657160055,0.1678579149416222,1,0.3013772806576277,3
yourself,-0.13130708901468838,0.198596799761629,1,0.3299038887763174,3
years,-0.1312258986367837,0.1835918388184204,2,0.3148177374552041,5
boy,-0.1310310856954117,0.2022207064021648,1,0.3332517920975765,3
11,-0.1298609248154878,0.2171443684458382,1,0.347005293261326,3
find,-0.11458432661029266,0.2269919778096086,3,0.3415763044199013,6
want,-0.10909750507751342,0.1727913639601228,2,0.2818888690376362,4
home,-0.10739046404598049,0.2020848613442016,2,0.3094753253901821,4
them,-0.10057096802514169,0.0619233226139667,1,0.1624942906391084,2
not,-0.1000537324912271,0.1987791125953042,6,0.2988328450865313,9
those,-0.09868005284175049,0.1195779606421565,1,0.218258013483907,2
its,-0.09839220706276988,0.1270058022887942,1,0.2253980093515641,2
why,-0.0977062390524264,0.1437581220156572,1,0.2414643610680836,2
maybe,-0.09713520066633216,0.1568412468933061,1,0.2539764475596383,2
found,-0.0966057838956359,0.1683838768580342,1,0.2649896607536701,2
next,-0.09625951610768821,0.1756649095534583,1,0.2719244256611465,2
house,-0.09623066698554322,0.1762626439270223,1,0.2724933109125655,2
part,-0.09620146568377769,0.1768663285800356,1,0.2730677942638133,2
family,-0.09617190400580619,0.1774760928310359,1,0.2736479968368421,2
trying,-0.0960498792444816,0.1799786891006271,1,0.2760285683451087,2
0,-0.0958202787903244,0.1846265428298412,1,0.2804468216201656,2
check,-0.0958202787903244,0.1846265428298412,1,0.2804468216201656,2
u,-0.0955667757451576,0.1896698122031279,1,0.2852365879482855,2
child,-0.09552832537463882,0.1904269528504495,1,0.2859552782250883,2
front,-0.09515242384520278,0.1977256929881952,1,0.292878116833398,2
teacher,-0.09491619730466319,0.2022207064021648,1,0.297136903706828,2
mother,-0.0948151232066537,0.2041233745159493,1,0.298938497722603,2
face,-0.09454323130610451,0.2091826650129355,1,0.30372589631904,2
local,-0.09448518045883242,0.2102520279260342,1,0.3047372083848666,2
single,-0.0940371751534988,0.2183825773776606,1,0.3124197525311594,2
african,-0.09312529766285502,0.2343158808883137,1,0.3274411785511687,2
broadcast,-0.09280954649408499,0.2396577817113422,1,0.3324673282054272,2
18,-0.09280954649408499,0.2396577817113422,1,0.3324673282054272,2
boys,-0.09257593092935762,0.2435564474808778,1,0.3361323784102354,2
mate,-0.09218177881281048,0.2500355639865137,1,0.3422173427993242,2
rape,-0.09218177881281048,0.2500355639865137,1,0.3422173427993242,2
court,-0.0920362815824683,0.252397129574287,1,0.3444334111567553,2
prison,-0.0920362815824683,0.252397129574287,1,0.3444334111567553,2
groid,-0.0917191433062377,0.257490555772244,1,0.3492096990784817,2
service,-0.09154529468093281,0.2602521447364221,1,0.3517974394173549,2
michael,-0.09154529468093281,0.2602521447364221,1,0.3517974394173549,2
old,-0.09140527133656562,0.2963593075210545,7,0.3877645788576201,10
17,-0.091359412594126,0.2631817065597794,1,0.3545411191539054,2
apartment,-0.091359412594126,0.2631817065597794,1,0.3545411191539054,2
victim,-0.091359412594126,0.2631817065597794,1,0.3545411191539054,2
assault,-0.09094406349926504,0.2696441195203961,1,0.3605881830196611,2
loud,-0.09045298054325002,0.2771427067914289,1,0.3675956873346789,2
arrest,-0.09016939281127201,0.2814062261274951,1,0.3715756189387671,2
blind,-0.0898526293527322,0.2861132871052471,1,0.3759659164579793,2
pregnant,-0.08908054517429742,0.2973549974633953,1,0.3864355426376927,2
pulls,-0.0879977425673496,0.3126111926952041,1,0.4006089352625537,2
looking,-0.08795798752824752,0.2602994612723082,4,0.3482574488005557,6
get,-0.08710209752221892,0.2170371636546255,5,0.3041392611768444,7
sentenced,-0.08616718341904223,0.3372124111225044,1,0.4233795945415466,2
any,-0.0807941656112322,0.1716109255571721,2,0.2524050911684043,3
well,-0.08064068304932201,0.1754608520632581,2,0.2561015351125801,3
said,-0.0791695195124808,0.2099076746681991,2,0.2890771941806799,3
year,-0.07907744246307141,0.2991610871456963,7,0.3782385296087677,9
hair,-0.07809459158078277,0.2328059730521196,2,0.3109005646329024,3
could,-0.07302693350367534,0.2239598395479679,3,0.2969867730516432,4
news,-0.0729061876881601,0.2266824102366098,3,0.2995885979247699,4
their,-0.07278763909421251,0.1689881390723072,4,0.2417757781665197,5
would,-0.07199461838174631,0.1903608844031882,4,0.2623555027849345,5
eyes,-0.07147384152748043,0.2574094404029358,3,0.3288832819304162,4
about,-0.07034085435080684,0.2057472703731162,5,0.276088124723923,6
if,-0.07001745872867829,0.2055765414352058,6,0.2755940001638841,7
killed,-0.0688975957902847,0.3069353114874812,3,0.3758329072777659,4
out,-0.06860113727179382,0.2478453132228595,8,0.3164464504946533,9
beaten,-0.06697409793771941,0.3403539309135119,3,0.4073280288512313,4
death,-0.06659304604482813,0.3074253755803786,4,0.3740184216252067,5
men,-0.0648782211888706,0.3208223734443642,5,0.3857005946332348,6
police,-0.0635965485393909,0.3380500707449776,6,0.4016466192843685,7
me,-0.055323216302461675,0.2709313523059677,9,0.3262545686084294,9
