word,npmi-bias,man-npmi,man-count,them-npmi,them-count
them,-0.5732569543975496,0.0619233226139667,1,0.6351802770115164,514
their,-0.1757668615080623,0.1689881390723072,4,0.3447550005803695,84
were,-0.1611600686052576,0.110390588635914,1,0.2715506572411716,27
think,-0.1573561873201726,0.1099499912454079,1,0.2673061785655805,26
they,-0.1491250673310279,0.2252571505226064,11,0.3743822178536343,146
own,-0.1347325688763227,0.1402602123541095,1,0.2749927812304322,21
give,-0.13285691284599407,0.1744867950468171,1,0.3073437078928112,21
why,-0.1250189817017948,0.1437581220156572,1,0.268777103717452,19
into,-0.120496985754695,0.1298651461916134,1,0.2503621319463084,18
not,-0.1145214546135567,0.1987791125953042,6,0.3133005672088609,71
few,-0.11205367059048557,0.1749678083709206,2,0.2870214789614062,29
how,-0.1091429548176571,0.158992041684454,2,0.2681349965021111,28
want,-0.10856638145661779,0.1727913639601228,2,0.2813577454167406,28
have,-0.10670610689975882,0.2238840501621546,11,0.3305901570619134,109
we,-0.10588746293699741,0.1852752383668359,5,0.2911627013038333,57
then,-0.10507558116679452,0.1677396492528944,2,0.2728152304196889,27
its,-0.1035873753513695,0.1270058022887942,1,0.2305931776401637,15
which,-0.10278381828758032,0.1513678189684296,1,0.2541516372560099,15
are,-0.0990371995643029,0.2316742971974336,12,0.3307114967617365,111
other,-0.0977075511161717,0.1097307045949827,1,0.2074382557111544,14
those,-0.09746409303255191,0.1195779606421565,1,0.2170420536747084,14
many,-0.09688450464745849,0.1790141984109407,2,0.2758987030583992,25
if,-0.09542891788911559,0.2055765414352058,6,0.3010054593243214,61
when,-0.09353023103672439,0.1999092768101535,4,0.2934395078468779,43
know,-0.0892566471950528,0.1587962067735355,2,0.2480528539685883,23
would,-0.0885706946958888,0.1903608844031882,4,0.278931579099077,41
do,-0.08706298496473153,0.2209385979667487,7,0.3080015829314802,65
will,-0.0847952336570722,0.2300948209261543,7,0.3148900545832265,64
school,-0.08458296626832681,0.1681842162275222,2,0.252767182495849,22
any,-0.08448236445892426,0.1716109255571721,2,0.2560932900160964,22
get,-0.08444682630503841,0.2170371636546255,5,0.3014839899596639,48
maybe,-0.08266411006344368,0.1568412468933061,1,0.2395053569567498,12
far,-0.0820187604100524,0.1793432229813598,1,0.2613619833914122,12
coming,-0.08159019071804899,0.1927591721531219,1,0.2743493628711709,12
these,-0.07999946544041489,0.1690818287738633,2,0.2490812942142782,21
over,-0.0756231130133912,0.1298651461916134,1,0.2054882592050046,11
stop,-0.074473235350312,0.1806209510105746,1,0.2550941863608866,11
what,-0.07412160357396741,0.1730796907983768,3,0.2472012943723442,28
about,-0.0723261410126621,0.2057472703731162,5,0.2780734113857783,43
us,-0.0701911173707396,0.1742347423813183,2,0.2444258597520579,19
whites,-0.0698905821703994,0.1926575095204927,3,0.2625480916908921,27
show,-0.06703479053351058,0.1466965093649839,1,0.2137312998984945,10
take,-0.0670215100228804,0.1474521612725079,1,0.2144736712953883,10
ever,-0.0669872250145552,0.1493804984178831,1,0.2163677234324383,10
use,-0.0667029064263244,0.1642957890367795,1,0.2309986954631039,10
person,-0.06661907204269821,0.1683838768580342,1,0.2350029489007324,10
friends,-0.06655054034973959,0.1716373467041744,1,0.238187887053914,10
to,-0.0658699388619795,0.3339476688729946,46,0.3998176077349741,285
much,-0.06455334719400138,0.1961084313492172,2,0.2606617785432186,18
than,-0.06167694895738651,0.2103280536180417,3,0.2720050025754282,25
can,-0.06125339024205778,0.2123718084749444,5,0.2736251987170022,39
out,-0.060544788139721,0.2478453132228595,8,0.3083901013625805,59
be,-0.05997579944435372,0.2391817859156959,9,0.2991575853600496,65
even,-0.0594294795570979,0.1847151695660366,2,0.2441446491231345,17
used,-0.057486008417646006,0.1812701674482487,1,0.2387561758658947,9
real,-0.05723500232153131,0.1943676691782759,1,0.2516026714998072,9
anyone,-0.053597964598651904,0.1951082341479919,2,0.2487061987466438,16
let,-0.05339524017098718,0.2062685058846967,2,0.2596637460556839,16
i,-0.04968023232982299,0.295567463264807,36,0.34524769559463,209
most,-0.048657980044046006,0.2308256182013053,3,0.2794835982453513,22
anything,-0.047999741344838004,0.1599949857732677,1,0.2079947271181057,8
nothing,-0.047978724967048,0.1618702561797252,1,0.2098489811467732,8
start,-0.04796226598722289,0.1633142941555681,1,0.211276560142791,8
race,-0.04789555590456809,0.1777240426230754,2,0.2256195985276435,15
too,-0.0478762409539682,0.1792751591521205,2,0.2271514001060887,15
need,-0.04775145341903628,0.1888008885824687,2,0.236552342001505,15
off,-0.04757632601984499,0.2009894874088886,2,0.2485658134287336,15
so,-0.045610873854952605,0.245396074462501,8,0.2910069483174536,52
you,-0.045172918505363174,0.2377612309121577,14,0.2829341494175209,86
ve,-0.041446100510903416,0.1891024579703356,2,0.230548558481239,14
but,-0.04126363942537978,0.2276078235158934,8,0.2688714629412732,50
just,-0.04105097151861559,0.2434112170903482,8,0.2844621886089638,50
only,-0.03982781030232091,0.2031996025472154,3,0.2430274128495363,20
around,-0.039643413490436874,0.2191031989488727,3,0.2587466124393096,20
our,-0.039639569444079925,0.2228684040353039,5,0.2625079734793838,32
as,-0.03900336485389422,0.2649406183048675,11,0.3039439831587617,66
hate,-0.0369635060027704,0.1694494079794657,1,0.2064129139822361,7
better,-0.03689621182340669,0.17809207035919,1,0.2149882821825967,7
best,-0.03683460299496899,0.1853211633112339,1,0.2221557663062029,7
go,-0.0354177536459952,0.2229061884830973,4,0.2583239421290925,25
well,-0.03484181714392812,0.1754608520632581,2,0.2103026692071862,13
same,-0.03473263910436719,0.1912524504719173,2,0.2259850895762845,13
told,-0.034165435336299205,0.2471206667624575,2,0.2812861020987567,13
at,-0.031387717055033404,0.2439028168880399,8,0.2752905339430733,46
down,-0.029561701974772092,0.2239598395479679,3,0.25352154152274,18
look,-0.029538863733057807,0.2269919778096086,3,0.2565308415426664,18
make,-0.029531650199931786,0.2279295332447571,3,0.2574611834446889,18
it,-0.029413360589873483,0.2690486981732047,20,0.2984620587630782,107
right,-0.027534569860223096,0.2024541493902271,2,0.2299887192504502,12
back,-0.027014545631184383,0.2323349239564345,4,0.2593494695876189,23
should,-0.02544491017185979,0.2534524396191282,5,0.278897349790988,28
all,-0.025274526218979187,0.2601551760432657,11,0.2854297022622449,59
such,-0.024583760399666116,0.1727612479306629,1,0.197345008330329,6
god,-0.024579392598955807,0.1744867950468171,1,0.1990661876457729,6
life,-0.024560268475474212,0.1812701674482487,1,0.2058304359237229,6
until,-0.024537571874418296,0.1881842695461031,1,0.2127218414205214,6
everyone,-0.024534958076155716,0.1889223384755163,1,0.213457296551672,6
front,-0.024500943220588406,0.1977256929881952,1,0.2222266362087836,6
learn,-0.024468423681312884,0.2050993429060553,1,0.2295677665873682,6
remember,-0.024468423681312884,0.2050993429060553,1,0.2295677665873682,6
leave,-0.024453976464311217,0.2081334940260691,1,0.2325874704903803,6
pass,-0.024426431651841607,0.2135901025637951,1,0.2380165342156367,6
good,-0.02431657041260618,0.1844652914513192,3,0.2087818618639254,17
phone,-0.024303520154676378,0.2343158808883137,1,0.2586194010429901,6
large,-0.024303520154676378,0.2343158808883137,1,0.2586194010429901,6
of,-0.023613909911308684,0.3475771097262986,43,0.3711910196376073,213
home,-0.019901512460055615,0.2020848613442016,2,0.2219863738042572,11
find,-0.018541347688361798,0.2269919778096086,3,0.2455333254979704,16
people,-0.016373497334534026,0.2736932293184622,10,0.2900667266529962,50
see,-0.013967129061804917,0.2317516537427252,5,0.2457187828045301,25
or,-0.01236839141583751,0.2717595748927627,11,0.2841279663086002,53
try,-0.01168355293631479,0.2222936207162939,2,0.2339771736526087,10
seen,-0.011677702862079115,0.2183592473433349,2,0.230036950205414,10
come,-0.0116612731281662,0.2090807572403551,2,0.2207420303685213,10
and,-0.010724629849224399,0.3788076357599954,57,0.3895322656092198,260
save,-0.010416921217118597,0.2360356997457938,1,0.2464526209629124,5
act,-0.0104141709709544,0.232651273116566,1,0.2430654440875204,5
dumb,-0.010408025733725984,0.2264767437141337,1,0.2368847694478597,5
thats,-0.010394163863675115,0.2159337288168668,1,0.2263278926805419,5
stay,-0.010381172063168215,0.2081334940260691,1,0.2185146660892373,5
boy,-0.01036977269604561,0.2022207064021648,1,0.2125904790982104,5
media,-0.010362124693523989,0.198596799761629,1,0.208958924455153,5
state,-0.01036021133120621,0.1977256929881952,1,0.2080859043194014,5
getting,-0.010354474066532227,0.1951890027487478,1,0.20554347681528,5
done,-0.010354474066532227,0.1951890027487478,1,0.20554347681528,5
small,-0.010346842126946698,0.1919713409079038,1,0.2023181830348505,5
called,-0.010344938976184992,0.1911940339076309,1,0.2015389728838159,5
half,-0.010339244329025915,0.1889223384755163,1,0.1992615828045422,5
check,-0.010327935314701608,0.1846265428298412,1,0.1949544781445428,5
english,-0.010313056966096301,0.1793432229813598,1,0.1896562799474561,5
high,-0.010313056966096301,0.1793432229813598,1,0.1896562799474561,5
family,-0.010307543106808897,0.1774760928310359,1,0.1877836359378448,5
part,-0.010305713453786919,0.1768663285800356,1,0.1871720420338225,5
please,-0.01029122932888099,0.1721967210976735,1,0.1824879504265545,5
area,-0.010242706660640394,0.1581737219319172,1,0.1684164285925576,5
2,-0.010205254714117595,0.1486022987883279,1,0.1588075535024455,5
who,-0.008722516849481499,0.2522384495064998,7,0.2609609663559813,33
had,-0.008376620448117683,0.2284097164251913,4,0.236786336873309,19
because,-0.007459916643863196,0.2741259699445392,6,0.2815858865884024,28
my,-0.005239889126074704,0.2315671846416155,9,0.2368070737676902,41
t,-0.004136083213120423,0.2586096713452163,10,0.2627457545583367,45
years,-0.0025304630283267127,0.1835918388184204,2,0.1861223018467471,9
very,-0.0025067761858529047,0.1800640475029921,2,0.182570823688845,9
watch,0.00035756180968199436,0.2304974053664708,3,0.2301398435567888,13
say,0.0005192540584137151,0.2098453571922226,3,0.2093261031338089,13
there,0.004190037465068519,0.2726426496082877,11,0.2684526121432192,46
no,0.004909121149669238,0.2567617574218398,7,0.2518526362721706,29
that,0.005483392291688316,0.310214799522684,25,0.3047314072309957,104
