word,npmi-bias,he-npmi,he-count,straight-npmi,straight-count
straight,-0.5646594707745636,0.1802139995771872,1,0.7448734703517508,21
there,-0.2449192837786668,0.1293745577263232,7,0.37429384150499,4
face,-0.24060783565517013,0.1909526217506602,2,0.4315604574058303,2
either,-0.24042797205769048,0.1920407509762043,2,0.4324687230338948,2
its,-0.2294845454955406,0.0578119201243179,1,0.2872964656198585,1
https,-0.2261015452903114,0.0921615278613187,1,0.3182630731516301,1
please,-0.2248047938066695,0.1042458708178899,1,0.3290506646245594,1
com,-0.2246036008673546,0.1154258830699894,3,0.340029483937344,2
nationalist,-0.2241321204055179,0.1103213113293789,1,0.3344534317348968,1
problem,-0.22267853808506458,0.1230464384271103,1,0.3457249765121749,1
college,-0.222586084211349,0.1238383892740116,1,0.3464244734853606,1
reason,-0.2212304982033271,0.1352303523296223,1,0.3564608505329494,1
pass,-0.2197808576309565,0.1469916683588166,1,0.3667725259897731,1
stand,-0.21947549857807408,0.1494180136529049,1,0.368893512230979,1
info,-0.2189867534200173,0.1532665376034473,1,0.3722532910234646,1
texas,-0.21881476570262529,0.1546108140414885,1,0.3734255797441138,1
event,-0.21676484699861912,0.1702566504369363,1,0.3870214974355554,1
add,-0.2165170661065553,0.1721033076466162,1,0.3886203737531715,1
attention,-0.2162590440649924,0.1740166493297413,1,0.3902756933947337,1
throw,-0.215708701668906,0.1780655339314804,1,0.3937742356003864,1
simple,-0.2151053930178023,0.1824552746959061,1,0.3975606677137084,1
aids,-0.21478054910689562,0.1847983596268498,1,0.3995789087337454,1
although,-0.21478054910689562,0.1847983596268498,1,0.3995789087337454,1
normal,-0.2144380457386696,0.1872536620266978,1,0.4016917077653674,1
road,-0.21407588328106472,0.1898333100014528,1,0.4039091932825175,1
tall,-0.2128454495682164,0.1984748915997329,1,0.4113203411679493,1
point,-0.21214491286451742,0.2089234480155795,3,0.4210683608800969,2
bag,-0.2118687702315345,0.2052057148099754,1,0.4170744850415099,1
waiting,-0.21071454442160117,0.2130221037729962,1,0.4237366481945974,1
catch,-0.21071454442160117,0.2130221037729962,1,0.4237366481945974,1
turns,-0.21071454442160117,0.2130221037729962,1,0.4237366481945974,1
meat,-0.209304241759713,0.222381851321548,1,0.431686093081261,1
wind,-0.209304241759713,0.222381851321548,1,0.431686093081261,1
hilarious,-0.209304241759713,0.222381851321548,1,0.431686093081261,1
eh,-0.209304241759713,0.222381851321548,1,0.431686093081261,1
stare,-0.2084619934210064,0.2278770964950076,1,0.436339089916014,1
failed,-0.2084619934210064,0.2278770964950076,1,0.436339089916014,1
havent,-0.2084619934210064,0.2278770964950076,1,0.436339089916014,1
positive,-0.20749162963110138,0.234125090348718,1,0.4416167199798194,1
fell,-0.2063470447184553,0.241385611753937,1,0.4477326564723923,1
pub,-0.2063470447184553,0.241385611753937,1,0.4477326564723923,1
deviant,-0.20316206650021923,0.2610138323762697,1,0.4641758988764889,1
shoplifter,-0.20316206650021923,0.2610138323762697,1,0.4641758988764889,1
steps,-0.20316206650021923,0.2610138323762697,1,0.4641758988764889,1
cheese,-0.20316206650021923,0.2610138323762697,1,0.4641758988764889,1
ran,-0.2019229598429898,0.2725203592983128,3,0.4744433191413026,2
lithuanian,-0.2006615674135369,0.2758851054843536,1,0.4765466728978905,1
gaurd,-0.2006615674135369,0.2758851054843536,1,0.4765466728978905,1
chased,-0.2006615674135369,0.2758851054843536,1,0.4765466728978905,1
thief,-0.2006615674135369,0.2758851054843536,1,0.4765466728978905,1
tripped,-0.1964543329301695,0.2999676259941186,1,0.4964219589242881,1
male,-0.18697647195219852,0.2493071947941311,4,0.4362836667463296,2
people,-0.1834486497508497,0.2018165227873521,13,0.3852651725382018,4
www,-0.18228295818516768,0.0777469309490085,2,0.2600298891341762,1
looking,-0.17843509054503562,0.1244100767525769,2,0.3028451672976125,1
saw,-0.17581597268781202,0.2151074324471886,5,0.3909234051350006,2
town,-0.1757233027970267,0.1533273618275327,2,0.3290506646245594,1
5,-0.1751925658316958,0.158696829921797,2,0.3338893957534928,1
