word,npmi-bias,gay-npmi,gay-count,him-npmi,him-count
i,-0.1927350350164533,0.1726839646987878,4,0.3654189997152411,63
he,-0.17302343697916572,0.2808250738851172,2,0.4538485108642829,38
his,-0.14680080534329554,0.3083489917165534,2,0.4551497970598489,32
like,-0.12866082101706788,0.1581211733732094,1,0.2867819943902773,15
would,-0.09161202526107612,0.1872459344625401,1,0.2788579597236162,11
about,-0.08131796217322568,0.1808148946377946,1,0.2621328568110203,10
out,-0.072521725528025,0.2442552474162119,2,0.3167769729442369,17
back,-0.06846691636357072,0.2292298231880766,1,0.2976967395516473,9
was,-0.0671533472026496,0.2944540472351808,4,0.3616073944378304,30
be,-0.0658920239205801,0.2225641675538312,2,0.2884561914744113,16
and,-0.0571390225041854,0.3426108028061029,12,0.3997498253102883,74
man,-0.05520082050411934,0.2671990310042123,1,0.3223998515083316,8
to,-0.04354403665263268,0.3492553272265888,13,0.3927993638792215,74
a,-0.043256264843555936,0.3185280405536974,10,0.3617843053972533,58
school,-0.04271447826122818,0.2270209148481517,1,0.2697353931093799,7
down,-0.0423538047319737,0.2470978748650735,1,0.2894516795970472,7
off,-0.04212152660875618,0.2589443973588688,1,0.301065923967625,7
if,-0.04123514627212871,0.2779347513604833,3,0.319169897632612,19
at,-0.04107637571714451,0.2855405370323465,3,0.326616912749491,19
me,-0.0276693342209276,0.1846341847286308,1,0.2123035189495584,6
what,-0.0275988800526836,0.1967951157977903,1,0.2243939958504739,6
an,-0.02755098694274999,0.2041660570800269,1,0.2317170440227769,6
time,-0.027397192539906995,0.2246695232264159,1,0.2520667157663229,6
should,-0.027360794557639595,0.2290057342516891,1,0.2563665288093287,6
white,-0.02582145837242289,0.2766179029996072,4,0.3024393613720301,22
or,-0.020170297611477817,0.2779347513604833,3,0.2981050489719611,16
have,-0.013434118434440423,0.2655600483084889,4,0.2789941667429293,20
so,-0.012418244668318423,0.2869969161341534,3,0.2994151608024718,15
look,-0.009718458578456102,0.2500918886982128,1,0.2598103472766689,5
around,-0.009717512223709784,0.242301429055201,1,0.2520189412789108,5
right,-0.00971646071924498,0.2603668053595391,1,0.2700832660787841,5
very,-0.009716316798989183,0.2385957277700314,1,0.2483120445690206,5
now,-0.009714864163955811,0.2353284949928119,1,0.2450433591567677,5
think,-0.0097077102623295,0.2248800432261317,1,0.2345877534884612,5
god,-0.009694909288284315,0.2863788706607983,1,0.2960737799490826,5
you,-0.008723240210852967,0.2794372060610774,5,0.2881604462719304,24
then,-9.274532882658226e-05,0.295047611471362,2,0.2951403568001886,9
one,0.0001326000271196781,0.2563483149879553,2,0.2562157149608356,9
when,0.0041082314847813994,0.3108573159478735,3,0.3067490844630921,13
but,0.004476155003162896,0.2696359246510539,3,0.265159769647891,13
all,0.004505745104467496,0.266386609973114,3,0.2618808648686465,13
for,0.004985870718772267,0.3102720307063573,6,0.305286159987585,26
head,0.01019798069081751,0.3200719251434852,1,0.3098739444526677,4
on,0.010230204077393501,0.3198189922109506,6,0.3095887881335571,25
home,0.010885679943605314,0.260008194091471,1,0.2491225141478657,4
day,0.011116838005159807,0.2391127293173303,1,0.2279958913121705,4
our,0.011558463075705488,0.1980957739850262,1,0.1865373109093207,4
here,0.011598951490193216,0.1942590017110966,1,0.1826600502209034,4
how,0.012252069000643295,0.2868299306696957,2,0.2745778616690524,8
by,0.01252254934538155,0.2661766556423075,2,0.253654106296926,8
we,0.012974543953824996,0.2308256648221037,2,0.2178511208682787,8
not,0.01372054057714922,0.2713904950213734,3,0.2576699544442242,12
the,0.021759545169790506,0.3669247776870533,17,0.3451652325172628,68
as,0.030226477736329693,0.3056104596524184,4,0.2753839819160887,14
with,0.030971897376743218,0.3638724653524244,7,0.3329005679756812,25
it,0.03256489166328552,0.3114057652599964,7,0.2788408735967109,25
racist,0.03566734125878318,0.2921771536484656,1,0.2565098123896824,3
place,0.036030207509935686,0.2781514807557532,1,0.2421212732458175,3
use,0.036066308257074714,0.2767278987178216,1,0.2406615904607469,3
come,0.03631435594466223,0.2667991684867617,1,0.2304848125420995,3
jews,0.036333862745797696,0.2660070984268671,1,0.2296732356810694,3
own,0.036627415158950294,0.2538767295436401,1,0.2172493143846898,3
over,0.03686028363418098,0.2439548678123412,1,0.2070945841781602,3
too,0.037000841785637895,0.2378275985166722,1,0.2008267567310343,3
want,0.0371431312188672,0.2315117039980811,1,0.1943685727792139,3
new,0.037256985063364195,0.2263717204801999,1,0.1891147354168357,3
say,0.0408852304069392,0.3013652923481402,2,0.260480061941201,6
know,0.04133171375533909,0.2866457459731065,2,0.2453140322177674,6
has,0.059207977727194494,0.2834110779089208,2,0.2242031001817263,5
no,0.059814627218991695,0.2672907979249346,2,0.2074761707059429,5
there,0.060990101443923195,0.2334112465517538,2,0.1724211451078306,5
in,0.0639548995807604,0.3753081883179328,12,0.3113532887371724,36
vile,0.06490376090950167,0.382357289307344,1,0.3174535283978423,2
drug,0.06689904384863093,0.3458514332334042,1,0.2789523893847733,2
s,0.0672954761225179,0.3521118307945456,7,0.2848163546720277,19
york,0.0676997480673272,0.3300944335676952,1,0.262394685500368,2
brother,0.0677599638990537,0.3288797483035058,1,0.2611197844044521,2
behind,0.06823843368115717,0.3190684929780839,1,0.2508300592969267,2
teacher,0.0685495059474491,0.3125297991722355,1,0.2439802932247864,2
done,0.06885785480951467,0.3059150773895706,1,0.2370572225800559,2
called,0.06903041696163201,0.302152290583169,1,0.233121873621537,2
believe,0.0692207597837502,0.2979486935218571,1,0.2287279337381069,2
that,0.06933938521773869,0.3585699924174608,9,0.2892306071997221,25
better,0.06958296712558082,0.2897877239584356,1,0.2202047568328548,2
work,0.06991438037731118,0.2821223288815718,1,0.2122079485042606,2
negro,0.07000023469308289,0.2801038173399138,1,0.2101035826468309,2
nothing,0.07023850394927728,0.2744275854130094,1,0.2041890814637321,2
non,0.0708086766866754,0.2603668053595391,1,0.1895581286728637,2
much,0.07104965552718659,0.2542023775907844,1,0.1831527220635978,2
watch,0.07107473299041853,0.2535527207399053,1,0.1824779877494868,2
years,0.0715094409173023,0.2420298108372469,1,0.1705203699199446,2
from,0.07153835461647268,0.3930186576832394,7,0.3214803030667667,18
any,0.0719302088162678,0.2303613121439393,1,0.1584311033276715,2
will,0.07206485694908138,0.2860229890669719,3,0.2139581321178905,7
my,0.076796705617521,0.3236639425006842,5,0.2468672368831632,12
some,0.07804576302186317,0.3464081111903415,4,0.2683623481684783,9
old,0.07912062494065439,0.306593848210513,2,0.2274732232698586,4
do,0.08006400501949049,0.311483384651383,4,0.2314193796318925,9
they,0.08955178971002747,0.3415974027488728,7,0.2520456130388453,16
who,0.09084040634245022,0.34107328384903,4,0.2502328775065798,8
proud,0.09969442431899228,0.3789443112828268,2,0.2792498869638345,3
video,0.10097006561741462,0.3586702531879376,3,0.257700187570523,5
keep,0.10197407722866758,0.349768091614246,2,0.2477940143855784,3
because,0.1021085034063878,0.3435654563470742,3,0.2414569529406864,5
something,0.10306673823289628,0.3347887912404371,2,0.2317220530075408,3
even,0.10469824743155948,0.3109417374610052,2,0.2062434900294457,3
n,0.10786297402254558,0.3410878945627996,5,0.233224920540254,9
t,0.1080982904424112,0.3380134679518958,5,0.2299151775094846,9
this,0.10814533813839378,0.3672135959579981,8,0.2590682578196043,16
their,0.1089547804000068,0.2363630406174499,2,0.1274082602174431,3
outraged,0.11189725329399708,0.4245535929759084,1,0.3126563396819113,1
rag,0.11189725329399708,0.4245535929759084,1,0.3126563396819113,1
of,0.11365907081187893,0.4214432869429458,17,0.3077842161310669,39
beating,0.11568676100847791,0.3862954197874064,1,0.2706086587789285,1
letter,0.11568676100847791,0.3862954197874064,1,0.2706086587789285,1
destroyed,0.11568676100847791,0.3862954197874064,1,0.2706086587789285,1
dating,0.1160530796475176,0.382357289307344,1,0.2663042096598264,1
famous,0.11668749612492374,0.3754217905526198,1,0.2587342944276961,1
drugs,0.11696613963905561,0.372327527646395,1,0.2553613880073394,1
values,0.1174643340859273,0.3667184996611395,1,0.2492541655752122,1
opinion,0.1174643340859273,0.3667184996611395,1,0.2492541655752122,1
