word,straight-npmi
116,0.4765466728978905
19,0.4016917077653674
28,0.4237366481945974
40s,0.4765466728978905
5,0.3338893957534928
88,0.3471331217552846
899,0.4964219589242881
a,0.3818360964094509
about,0.3042207300556449
add,0.3886203737531715
ago,0.3137271056866605
aids,0.3995789087337454
air,0.3975606677137084
all,0.3627053357483399
almost,0.3581890960496369
although,0.3995789087337454
ammo,0.4202730543893349
an,0.3260393466080933
anchors,0.4964219589242881
and,0.4293097612408512
any,0.2767214991105205
anyone,0.2989771050176965
appreciate,0.4170744850415099
are,0.2365283724605899
around,0.2883473960336974
as,0.3294514313220935
ass,0.3975606677137084
at,0.3432712730988669
attention,0.3902756933947337
austin,0.4416167199798194
bag,0.4170744850415099
band,0.3637488466646996
barely,0.431686093081261
be,0.1997745946302681
became,0.4170744850415099
beliefs,0.4170744850415099
berber,0.4964219589242881
black,0.3220308491295764
blonde,0.4170744850415099
booming,0.4964219589242881
breech,0.4964219589242881
broke,0.4202730543893349
buddylist,0.4964219589242881
buisiness,0.4964219589242881
by,0.2438277341878343
ca,0.3327779461172205
can,0.359154126560831
catch,0.4237366481945974
centre,0.4202730543893349
chased,0.4765466728978905
chasing,0.4550380408113041
cheese,0.4641758988764889
college,0.3464244734853606
com,0.340029483937344
community,0.3581890960496369
contact,0.4237366481945974
cooked,0.4765466728978905
could,0.2930138944332218
cross,0.3886203737531715
day,0.2852439056944192
deviant,0.4641758988764889
devoid,0.4964219589242881
diablo,0.4641758988764889
did,0.296524362106215
divine,0.4765466728978905
do,0.3727461741286521
dope,0.4765466728978905
dot,0.414100759044878
doubt,0.3975606677137084
down,0.3658209180335156
download,0.3722532910234646
eh,0.431686093081261
either,0.4324687230338948
equally,0.4641758988764889
event,0.3870214974355554
explanation,0.4477326564723923
eyes,0.3961156168248749
face,0.4315604574058303
failed,0.436339089916014
fear,0.3825254873162381
fell,0.4477326564723923
few,0.2799077502754896
files,0.4416167199798194
find,0.2959257125255836
floor,0.4113203411679493
for,0.3203533641091038
forbid,0.4765466728978905
force,0.3811162280957463
forward,0.3937742356003864
francisco,0.4275176265008157
from,0.2955613960727887
full,0.3547878094624173
gaurd,0.4765466728978905
ged,0.4765466728978905
get,0.3148824141072192
gets,0.3618281889745671
getting,0.3500647124341486
go,0.2664245873463892
god,0.4018470479904234
good,0.254973300145063
got,0.3634399340190368
green,0.3746263385818635
ground,0.3870214974355554
groups,0.3746263385818635
guard,0.4416167199798194
guy,0.3316878841906396
hair,0.3344534317348968
half,0.3443524322234662
has,0.2612632407232195
have,0.239091247990784
havent,0.436339089916014
haymaker,0.4765466728978905
he,0.2586460892447446
head,0.3637488466646996
her,0.2730441949127357
here,0.2414886356985289
heterosexual,0.4964219589242881
hetrosexuality,0.4964219589242881
hilarious,0.431686093081261
him,0.3038507750010588
himself,0.4170744850415099
hiv,0.4416167199798194
hk,0.4964219589242881
holidays,0.4477326564723923
homosexual,0.4275176265008157
homosexuals,0.4237366481945974
https,0.3182630731516301
i,0.3018517670586181
if,0.2864596592158782
immediately,0.4416167199798194
in,0.312318632486659
infiltrate,0.4964219589242881
info,0.3722532910234646
into,0.4095634908864201
is,0.3270402666065012
issue,0.4170744850415099
it,0.3842392126835706
its,0.2872964656198585
job,0.3618281889745671
just,0.3428112134867666
kazaa,0.4765466728978905
keep,0.328537501709687
kids,0.2875576169698138
knew,0.3771195769408117
laced,0.4765466728978905
language,0.3886203737531715
laughter,0.4964219589242881
left,0.4094065070374779
life,0.3373617849314382
like,0.3325229695409958
linkedin,0.4964219589242881
lithuanian,0.4765466728978905
local,0.3637488466646996
look,0.2959257125255836
looking,0.3028451672976125
looks,0.3379620473320846
love,0.3333309402764944
loyal,0.4477326564723923
male,0.4362836667463296
me,0.307798146712897
meaningless,0.4765466728978905
meat,0.431686093081261
methinks,0.4964219589242881
mid,0.431686093081261
more,0.3708199217474519
much,0.2999220025134418
my,0.2693712342234021
n,0.2874206901519081
nationalist,0.3344534317348968
negroid,0.4237366481945974
news,0.2956284857600729
no,0.3201082871906635
normal,0.4016917077653674
not,0.203043653205237
nothing,0.3909234051350006
now,0.2815595710108756
of,0.3249223383636896
off,0.3045303353587742
oh,0.3618281889745671
old,0.2847406307772543
older,0.4275176265008157
on,0.3298204797753407
once,0.3367679101389147
one,0.3095358755616936
only,0.2730441949127357
open,0.3564608505329494
or,0.2864596592158782
orientation,0.4964219589242881
out,0.3469591519586624
over,0.2899562799343173
own,0.299605458774168
pass,0.3667725259897731
people,0.3852651725382018
percentage,0.4416167199798194
person,0.396571016017004
perverts,0.4765466728978905
please,0.3290506646245594
point,0.4210683608800969
positive,0.4416167199798194
power,0.368893512230979
powerful,0.431686093081261
problem,0.3457249765121749
promote,0.3956282860595519
psychos,0.4964219589242881
pub,0.4477326564723923
racially,0.414100759044878
ran,0.4744433191413026
reason,0.3564608505329494
road,0.4039091932825175
run,0.3547878094624173
s,0.3022816818932564
said,0.3129380072958107
san,0.3919919558262043
saw,0.3909234051350006
say,0.2794432075062564
security,0.3886203737531715
see,0.2540033691367946
seen,0.3208912300640607
seventh,0.4964219589242881
sex,0.4113203411679493
sexuality,0.4765466728978905
shop,0.414100759044878
shoplifter,0.4641758988764889
should,0.3491085517885887
sicilian,0.4964219589242881
signature,0.4550380408113041
simple,0.3975606677137084
skinranger,0.4964219589242881
something,0.3133312656787808
stand,0.368893512230979
stare,0.436339089916014
station,0.4039091932825175
steps,0.4641758988764889
stopped,0.4016917077653674
straight,0.7448734703517508
successful,0.436339089916014
summer,0.3854750555366754
t,0.2842330459322636
tall,0.4113203411679493
tests,0.4275176265008157
texas,0.3734255797441138
than,0.2799077502754896
that,0.2190900188265006
the,0.4524857800657703
thebest,0.4964219589242881
their,0.2901933434311164
them,0.3510424306774097
then,0.3468689452882003
there,0.37429384150499
they,0.240450600997554
thief,0.4765466728978905
thing,0.3110091857556802
this,0.2474591944748969
throw,0.3937742356003864
time,0.2711748383857545
to,0.3249907913490311
town,0.3290506646245594
triggered,0.4964219589242881
tripped,0.4964219589242881
trying,0.3361802764298485
turns,0.4237366481945974
tv,0.3306183309373746
two,0.3087726211975152
uncontrollable,0.4964219589242881
up,0.3091850657752177
us,0.2792121390834551
video,0.2938736155746322
wait,0.3547878094624173
waiting,0.4237366481945974
was,0.3184906427978626
wayne,0.4765466728978905
weber,0.4964219589242881
weeks,0.3556176698749611
