word,npmi-bias,her-npmi,her-count,their-npmi,their-count
their,-0.45329814313389905,0.1700738756925413,8,0.6233720188264403,599
whites,-0.2335389962131415,0.0485578498553355,1,0.282096846068477,39
these,-0.1985721016532045,0.0611169996924003,1,0.2596891013456048,28
they,-0.19626667638945622,0.1975002517387618,17,0.393766928128218,198
are,-0.18133163356495322,0.1631231594610624,13,0.3444547930260156,146
most,-0.16882119688443348,0.0890919530892188,1,0.2579131499736523,21
which,-0.15381567830655482,0.1005436278437333,1,0.2543593061502881,18
even,-0.15254028353289162,0.129124428608635,2,0.2816647121415266,30
much,-0.14379343310435871,0.089444013579755,1,0.2332374466841137,16
those,-0.14274671678956868,0.1195284478248052,2,0.2622751646143739,27
them,-0.13920243367252258,0.1946946051404327,9,0.3338970388129553,84
many,-0.1388072698450683,0.1232122355991378,2,0.2620195054442061,26
re,-0.1320777648141021,0.0853343338379676,1,0.2174120986520697,14
anyone,-0.13192768367468338,0.0883932335471931,1,0.2203209172218765,14
maybe,-0.1310114823016076,0.1061895705951916,1,0.2372010528967992,14
children,-0.1305064977317626,0.1897457885997843,3,0.3202522863315469,34
country,-0.12592920233645827,0.1402530492752893,2,0.2661822516117476,23
news,-0.1255811809870688,0.0846726822356001,1,0.2102538632226689,13
always,-0.1251353334156046,0.0941949760327988,1,0.2193303094484034,13
someone,-0.12428027709724171,0.1113788171579104,1,0.2356590942551521,13
schools,-0.1234887148541895,0.126238946045095,1,0.2497276608992845,13
people,-0.1222895724721759,0.1914249348771838,9,0.3137145073493597,73
jews,-0.1209200546038472,0.1535716414015446,2,0.2744916960053918,22
race,-0.12042036444451021,0.1545100694407363,3,0.2749304338852465,30
have,-0.11588561225378641,0.1960756758723442,17,0.3119612881261306,114
blacks,-0.112973083104944,0.164360528705606,3,0.27733361181055,28
all,-0.10994620177023878,0.1761891522847942,10,0.286135354055033,71
use,-0.1098695179696509,0.1138822262377766,1,0.2237517442074275,11
been,-0.10953510201383919,0.1086019267651873,2,0.2181370287790265,19
tell,-0.10910629566132599,0.1300779670934884,1,0.2391842627548144,11
countries,-0.10803688195601097,0.1511704854038926,1,0.2592073673599036,11
lives,-0.10606671783283711,0.1863170648879221,1,0.2923837827207592,11
god,-0.10141633249791719,0.1244046486671533,1,0.2258209811650705,10
money,-0.1011043012879155,0.1314123968800611,1,0.2325166981679766,10
your,-0.09841153383674378,0.1329303084341942,5,0.231341842270938,36
our,-0.09810066140792231,0.1389156332786172,4,0.2370162946865395,30
parents,-0.0941819479426125,0.2307782766561772,3,0.3249602245987897,24
really,-0.0934679764676749,0.1052888330746886,1,0.1987568095423635,9
bad,-0.09293839948884,0.1192025920264494,1,0.2121409915152894,9
else,-0.092556001342846,0.1287717362547365,1,0.2213277375975825,9
themselves,-0.09198272909705119,0.1424736799017334,1,0.2344564089987846,9
without,-0.0916031943488107,0.1511704854038926,1,0.2427736797527033,9
proud,-0.09143025308865399,0.1550437735221895,1,0.2464740266108435,9
learn,-0.0913847629622063,0.1560537390377948,1,0.2474385020000011,9
do,-0.08909599632184131,0.1876983070687471,10,0.2767943033905884,60
own,-0.08711674225088589,0.281302194913151,10,0.3684189371640369,62
look,-0.08667969209617402,0.1365578004814003,2,0.2232374925775743,15
you,-0.08660729328653038,0.1495712009864474,13,0.2361784942729778,72
read,-0.0835739830286176,0.112869172196503,1,0.1964431552251206,8
seems,-0.0821557459798403,0.1511704854038926,1,0.2333262313837329,8
of,-0.0813583035417027,0.2797689633191215,54,0.3611272668608242,240
liberals,-0.0812766083077548,0.1724625802584892,1,0.253739188566244,8
fear,-0.0808212489947813,0.1829191563895051,1,0.2637404053842864,8
why,-0.0802493097039921,0.1441608593208176,2,0.2244101690248097,14
take,-0.07523790612018919,0.1802964274758775,3,0.2555343335960667,19
not,-0.07488921521304048,0.2092292080021127,13,0.2841184232151532,67
non,-0.07362211471161148,0.1475359625240293,2,0.2211580772356408,13
there,-0.0730598447301738,0.1539000498317594,7,0.2269598945619332,38
area,-0.07302161563316771,0.1075643403830187,1,0.1805859560161864,7
racist,-0.07230444589889859,0.1307415753894848,1,0.2030460212883834,7
best,-0.07214573910768249,0.1355988296187797,1,0.2077445687264622,7
believe,-0.07209740919947219,0.1370605513380158,1,0.209157960537488,7
media,-0.07168150666584569,0.14932586688606,1,0.2210073735519057,7
ones,-0.0713334631633088,0.159193982916155,1,0.2305274460794638,7
know,-0.07042385821154262,0.1792804113036016,5,0.2497042695151442,28
only,-0.0700539317809088,0.1883334799558229,5,0.2583874117367317,28
because,-0.07002667859048647,0.2245523690333376,7,0.2945790476238241,38
plus,-0.0697560370271347,0.2002839129694801,1,0.2700399499966148,7
so,-0.0675906162046023,0.2172135406059457,12,0.284804156810548,59
need,-0.06559837755215689,0.1658889373786121,3,0.231487314930769,17
up,-0.0646508056991742,0.2130470667970571,10,0.2776978724962313,49
something,-0.06094961126799299,0.1044002858460218,1,0.1653498971140148,6
group,-0.06047851952816641,0.1226225068581927,1,0.1831010263863591,6
such,-0.06047851952816641,0.1226225068581927,1,0.1831010263863591,6
today,-0.06025787218370118,0.1307415753894848,1,0.190999447573186,6
problem,-0.05997315063036268,0.1408768564518783,1,0.200850007082241,6
least,-0.05997315063036268,0.1408768564518783,1,0.200850007082241,6
what,-0.059914597061863084,0.1887423200975542,7,0.2486569171594173,34
support,-0.05985577895663022,0.1449516791641152,1,0.2048074581207454,6
great,-0.05958692351222952,0.1352620363451109,2,0.1948489598573404,11
food,-0.05949655118853528,0.1570816242423745,1,0.2165781754309098,6
students,-0.05949655118853528,0.1570816242423745,1,0.2165781754309098,6
saying,-0.0592953523369838,0.1636674394489462,1,0.22296279178593,6
power,-0.05918346859445989,0.1672697443381548,1,0.2264532129326147,6
makes,-0.05765077999155058,0.19646749894264,2,0.2541182789341906,11
or,-0.05746467524962759,0.2161485541888016,13,0.2736132294384292,58
should,-0.054806473756605883,0.1908430964683945,5,0.2456495702250004,24
who,-0.052166658468136284,0.2473832666681558,13,0.2995499251362921,56
its,-0.051691824427652605,0.1270979764581092,2,0.1787898008857618,10
am,-0.05155790909771829,0.1324326997622229,2,0.1839906088599412,10
world,-0.051196527834508204,0.1463919273960006,2,0.1975884552305088,10
how,-0.04962880204621062,0.2105301524840293,7,0.2601589545302399,31
that,-0.04781996351629397,0.2770160561111925,38,0.3248360196274865,143
the,-0.047743017597083104,0.3060938797833475,91,0.3538368973804306,316
im,-0.046926542337589916,0.1022299875023327,1,0.1491565298399226,5
forum,-0.046629495998067205,0.1164870535995198,1,0.163116549597587,5
think,-0.04620630615908,0.2031402211473919,6,0.2493465273064719,26
guess,-0.046174525398345684,0.1370605513380158,1,0.1832350767363615,5
different,-0.04615748464967251,0.1378048062092565,1,0.183962290858929,5
jewish,-0.04610481434189359,0.1400940664637845,1,0.1861988808056781,5
message,-0.0459309110152758,0.1475372455416844,1,0.1934681565569602,5
yeah,-0.045821940925504206,0.1521149981770965,1,0.1979369391026007,5
call,-0.045821940925504206,0.1521149981770965,1,0.1979369391026007,5
guys,-0.04579889402950929,0.1530750075925761,1,0.1988739016220854,5
future,-0.04579889402950929,0.1530750075925761,1,0.1988739016220854,5
pride,-0.045676472490990605,0.1581281258449573,1,0.2038045983359479,5
job,-0.04565041151438651,0.159193982916155,1,0.2048443944305415,5
either,-0.04559653051053858,0.1613869531948864,1,0.206983483705425,5
local,-0.04559653051053858,0.1613869531948864,1,0.206983483705425,5
talking,-0.04556865804900301,0.1625157901949896,1,0.2080844482439926,5
side,-0.045540126330341185,0.1636674394489462,1,0.2092075657792874,5
hand,-0.04545025465898178,0.1672697443381548,1,0.2127199989971366,5
past,-0.045319033490479305,0.1724625802584892,1,0.2177816137489685,5
knows,-0.04524771476767181,0.1752527038261407,1,0.2205004185938125,5
website,-0.04524771476767181,0.1752527038261407,1,0.2205004185938125,5
sick,-0.0451322839896105,0.1797222467749297,1,0.2248545307645402,5
given,-0.0448115576267627,0.1918564453192716,1,0.2366680029460343,5
boys,-0.044702284581532,0.1959004263957067,1,0.2406027109772387,5
enemies,-0.044702284581532,0.1959004263957067,1,0.2406027109772387,5
events,-0.0446438263765791,0.1980459529545264,1,0.2426897793311055,5
ancestors,-0.044220544960382774,0.2132297838077323,1,0.2574503287681151,5
values,-0.044220544960382774,0.2132297838077323,1,0.2574503287681151,5
be,-0.04419867021933249,0.2215683311451267,15,0.2657670013644592,59
to,-0.043451825108860254,0.3192999623880746,81,0.3627517874969349,279
looking,-0.0424566216554971,0.1441608593208176,2,0.1866174809763147,9
site,-0.04187639294552259,0.168685600924976,2,0.2105619938704986,9
feel,-0.0416953054291091,0.1760229054582858,2,0.2177182108873949,9
over,-0.04167692921409341,0.1625699970445923,3,0.2042469262586857,13
find,-0.041517030138254724,0.1690517468095208,3,0.2105687769477755,13
for,-0.041256155993926624,0.2607337133359058,31,0.3019898693298324,113
make,-0.03676710372967262,0.2136942975224378,5,0.2504614012521104,20
going,-0.034593382743203005,0.1668225483905066,3,0.2014159311337096,12
about,-0.03302648394176971,0.2505300117547034,15,0.2835564956964731,54
ireland,-0.032605363764916906,0.1527343228778414,2,0.1853396866427583,8
than,-0.0324267544449966,0.1956449068998041,5,0.2280716613448007,19
still,-0.03232813443816279,0.1665899002615269,2,0.1989180346996897,8
again,-0.0321949195908153,0.173098180018062,2,0.2052930996088773,8
actually,-0.032146790415712,0.1754268562294947,2,0.2075736466452067,8
care,-0.0316255432220352,0.1999291895580106,2,0.2315547327800458,8
as,-0.03159798366353392,0.2246342215843322,15,0.2562322052478661,53
kids,-0.031106843262010186,0.2585244666628088,9,0.289631309924819,33
heads,-0.030425149212732983,0.2521191825483822,2,0.2825443317611152,8
down,-0.030048455587287,0.1901221893277151,4,0.2201706449150021,15
long,-0.030018212309874392,0.1108895705505882,1,0.1409077828604626,4
3,-0.029945409646230187,0.1154323857789217,1,0.1453777954251519,4
school,-0.02987925005257741,0.2324420748111406,8,0.262321324863718,29
city,-0.029779055442477415,0.1256215153397414,1,0.1554005707822188,4
nationalist,-0.02973747027627438,0.1281288008006838,1,0.1578662710769582,4
high,-0.029715931247880106,0.1294214071077621,1,0.1591373383556422,4
american,-0.029704964715575294,0.1300779670934884,1,0.1597829318090637,4
once,-0.029693862584883796,0.1307415753894848,1,0.1604354379743686,4
crime,-0.029636196658153202,0.1341713283353302,1,0.1638075249934834,4
enough,-0.029612054053130304,0.1355988296187797,1,0.16521088367191,4
fight,-0.0295220678362631,0.1408768564518783,1,0.1703989242881414,4
coming,-0.029480576261403407,0.1432883201425236,1,0.172768896403927,4
cause,-0.02932668321583659,0.1521149981770965,1,0.1814416813929331,4
america,-0.02930975404493899,0.1530750075925761,1,0.1823847616375151,4
light,-0.02930975404493899,0.1530750075925761,1,0.1823847616375151,4
blood,-0.029292503295067107,0.1540510701420501,1,0.1833435734371172,4
speak,-0.029256986993824896,0.1560537390377948,1,0.1853107260316197,4
videos,-0.02923869453888439,0.1570816242423745,1,0.1863203187812589,4
brothers,-0.02918150069145159,0.1602799804313825,1,0.1894614811228341,4
mixed,-0.029161608475927386,0.1613869531948864,1,0.1905485616708138,4
information,-0.029055058125904004,0.1672697443381548,1,0.1963248024640588,4
change,-0.02903216761311722,0.1685235064731637,1,0.1975556740862809,4
nordic,-0.0290086878171201,0.1698059198057495,1,0.1988146076228696,4
info,-0.028984587749719876,0.1711184258607827,1,0.2001030136105026,4
wn,-0.028984587749719876,0.1711184258607827,1,0.2001030136105026,4
happen,-0.028934389973617913,0.17384006521682,1,0.2027744551904379,4
pro,-0.028934389973617913,0.17384006521682,1,0.2027744551904379,4
wo,-0.028908216530108305,0.1752527038261407,1,0.204160920356249,4
control,-0.028795307462290393,0.1812971759177526,1,0.210092483380043,4
round,-0.028795307462290393,0.1812971759177526,1,0.210092483380043,4
chinese,-0.0287331485065912,0.1845913047112482,1,0.2133244532178394,4
clean,-0.02870040794963641,0.1863170648879221,1,0.2150174728375585,4
huge,-0.02870040794963641,0.1863170648879221,1,0.2150174728375585,4
spread,-0.02870040794963641,0.1863170648879221,1,0.2150174728375585,4
door,-0.028666450634082186,0.1881002564887215,1,0.2167667071228037,4
grow,-0.028594498656285217,0.1918564453192716,1,0.2204509439755568,4
gods,-0.02851639288675728,0.1959004263957067,1,0.224416819282464,4
often,-0.02851639288675728,0.1959004263957067,1,0.224416819282464,4
claims,-0.02838507716166691,0.2026232603438401,1,0.231008337505507,4
females,-0.028336743920906682,0.2050743480522944,1,0.2334110919732011,4
welfare,-0.028336743920906682,0.2050743480522944,1,0.2334110919732011,4
with,-0.028190378882584688,0.2866996986030043,29,0.314890077485589,97
arms,-0.028174170033486184,0.2132297838077323,1,0.2414039538412185,4
opened,-0.028112825077013293,0.2162724336970454,1,0.2443852587740587,4
but,-0.028094367609098364,0.2370907276619539,17,0.2651850952710523,58
burn,-0.027976132879814375,0.2229863196519829,1,0.2509624525317973,4
monkey,-0.027976132879814375,0.2229863196519829,1,0.2509624525317973,4
more,-0.02698239178809131,0.2053860976432341,8,0.2323684894313254,28
dont,-0.026863335400957117,0.179158279183511,3,0.2060216145844681,11
just,-0.025806556069180003,0.2236869708845268,13,0.2494935269537068,44
now,-0.0241281278391334,0.1778070281743627,4,0.2019351560134961,14
if,-0.0224514877057512,0.2317570480406652,15,0.2542085357464164,49
live,-0.0220383698942217,0.1405991320269951,2,0.1626375019212168,7
times,-0.02168442699582601,0.1630807225866117,2,0.1847651495824377,7
anti,-0.021522825591974104,0.173098180018062,2,0.1946210056100361,7
left,-0.02133850255077202,0.1843470372711924,2,0.2056855398219644,7
an,-0.02127859433694601,0.1817881526839979,6,0.2030667470209439,20
point,-0.021107817407757384,0.198172737698001,2,0.2192805551057584,7
outside,-0.020616142668527793,0.2267728886945938,2,0.2473890313631216,7
way,-0.02058414911412862,0.2194332024106831,6,0.2400173515248117,20
every,-0.020459435415188798,0.2260391469338375,6,0.2464985823490263,20
can,-0.020304021233518987,0.2417394291913187,13,0.2620434504248377,42
same,-0.018968932339391592,0.1684073831379902,3,0.1873763154773818,10
trying,-0.01825252820999762,0.2129898294350052,3,0.2312423576450028,10
m,-0.0179520973900458,0.1525141957535644,4,0.1704662931436102,13
get,-0.017876398943645982,0.238000341474962,12,0.255876740418608,38
any,-0.01763920816257769,0.1726126005321763,4,0.190251808694754,13
it,-0.016936812443207216,0.2699460434274812,39,0.2868828558706884,118
say,-0.016589499724869783,0.1951498491105269,5,0.2117393488353967,16
in,-0.01561039615628712,0.3299084329061708,67,0.3455188290624579,199
good,-0.01552041660049508,0.2131306202263434,8,0.2286510368268385,25
on,-0.013517567655514984,0.2829926729921817,34,0.2965102406476967,101
t,-0.013124838953185475,0.2499058218246277,18,0.2630306607778132,54
never,-0.010594695085679812,0.2060715921398765,5,0.2166662872255563,15
