word,npmi-bias,himself-npmi,himself-count,they-npmi,they-count
they,-0.27723584811901675,0.3085494639410857,2,0.5857853120601024,1163
have,-0.10490665900457008,0.2209419484581273,1,0.3258486074626974,252
are,-0.07497727304091928,0.3048127100279323,2,0.3797899830688516,369
on,-0.055190410667040696,0.2219475752335968,1,0.2771379859006375,175
and,-0.03583426680204033,0.3279399215096387,4,0.363774188311679,538
white,-0.03115743264852408,0.2321591817360644,1,0.2633166143845885,145
if,-0.027318851104277175,0.2684059093425819,1,0.2957247604468591,140
n,-0.02291503533554562,0.2693702698528619,1,0.2922853051884075,135
t,-0.022865320262502986,0.2661717946213722,1,0.2890371148838752,135
you,-0.021663469164933696,0.205580727883141,1,0.2272441970480747,135
not,-0.011576421163109474,0.2618815796826141,1,0.2734580008457236,123
s,-0.004830075606105988,0.2335287865742856,1,0.2383588621803916,117
or,0.004645239067118223,0.2684059093425819,1,0.2637606702754637,107
out,0.015481919539823585,0.2798260792023133,1,0.2643441596624897,97
is,0.02116813419767155,0.2726847912611772,2,0.2515166570635056,191
to,0.03112014768137561,0.3916079943314874,6,0.3604878466501118,550
be,0.03217275537724912,0.3431076649113255,2,0.3109349095340764,171
because,0.03286773118578662,0.333940838198078,1,0.3010731070122914,81
up,0.0336532971897367,0.2912248940604061,1,0.2575715968706694,82
were,0.03853386915764612,0.3279339202081211,1,0.289400051050475,77
there,0.04163915105802732,0.2692821160500044,1,0.2276429649919771,77
with,0.04211733388583072,0.3311783886637134,2,0.2890610547778827,159
the,0.04430096382853049,0.3905958054933838,7,0.3462948416648533,607
my,0.045477377175463185,0.2512675258103578,1,0.2057901486348946,75
all,0.0455000301260286,0.3413723566180032,2,0.2958723264919746,154
think,0.05462675866816802,0.3275392160315305,1,0.2729124573633625,66
would,0.06337417135579468,0.2922874508343848,1,0.2289132794785901,62
know,0.07001928044531158,0.3209855094363343,1,0.2509662289910227,57
so,0.07931348249248082,0.3607737233691789,2,0.2814602408766981,115
just,0.08465633926007576,0.3589537136315811,2,0.2742973743715053,110
these,0.08635881309558058,0.3303530844874243,1,0.2439942713918437,48
it,0.0871672798357141,0.3796146110184662,4,0.2924473311827521,246
people,0.08844255808353524,0.36416702995922,2,0.2757244718756848,106
for,0.08984565970482161,0.3554248393656444,3,0.2655791796608228,173
of,0.09408066252116182,0.4149799409649638,6,0.320899278443802,377
than,0.09433171165386156,0.3357003369771204,1,0.2413686253232588,44
a,0.09892970425545322,0.4042602380713353,6,0.3053305338158821,369
me,0.1051264939210094,0.2898313752371921,1,0.1847048813161827,41
get,0.1065734504986276,0.379124438522813,2,0.2725509880241854,89
that,0.1124762727892501,0.4250147084592657,5,0.3125384356700156,263
where,0.1151265648504447,0.343770156870354,1,0.2286435920199093,35
show,0.11879111771271361,0.3602105552189666,1,0.241419437506253,33
in,0.12159983251738599,0.4291969586445036,6,0.3075971261271176,313
into,0.12318743669941751,0.3453077468697635,1,0.222120310170346,32
even,0.12326956758827529,0.3445342280246553,1,0.22126466043638,32
i,0.1257991783182093,0.3937876639937875,6,0.2679884856755782,315
find,0.12841081946422211,0.3510104423708422,1,0.2225996229066201,30
but,0.12849738221015272,0.3991900301082231,3,0.2706926478980704,122
any,0.13040070525868727,0.3326518904910585,1,0.2022511852323712,30
one,0.1362359297642409,0.3740761974010825,2,0.2378402676368416,68
from,0.13790163548415388,0.3608659054428824,2,0.2229642699587285,68
said,0.1392106570248119,0.3672434372532052,1,0.2280327802283933,26
more,0.140967616917659,0.3863960505065221,2,0.2454284335888631,64
this,0.1457308950395186,0.3712764294271908,3,0.2255455343876722,109
after,0.14582641524865952,0.3699204349915832,1,0.2240940197429237,24
home,0.1470378471616657,0.3602105552189666,1,0.2131727080573009,24
being,0.15130967265245412,0.3554351624630274,1,0.2041254898105733,23
day,0.1530848237253492,0.340803473690107,1,0.1877186499647578,23
too,0.1570808950251137,0.3396072995408529,1,0.1825264045157392,22
maybe,0.1573385163277676,0.3691428020004901,1,0.2118042856727225,21
his,0.16079177752125332,0.3420226729240841,1,0.1812308954028308,21
something,0.17046317930386728,0.3676183468050116,1,0.1971551675011443,18
before,0.17056592222778671,0.3668709390186548,1,0.1963050167908681,18
new,0.17093448955508098,0.3289311258979525,1,0.1579966363428715,19
funny,0.17225293680334658,0.4194209129529767,1,0.2471679761496301,16
d,0.1743485157967484,0.3735568716692449,1,0.1992083558724965,17
anyone,0.1770634345585894,0.353924139493649,1,0.1768607049350596,17
m,0.17722766274766252,0.314685562484159,1,0.1374578997364965,18
live,0.181978828865777,0.3545240253909668,1,0.1725451965251898,16
here,0.1840764745306479,0.3809325094870698,2,0.1968560349564219,42
www,0.18687300559022618,0.3166658899553392,1,0.129792884365113,16
