word,him-npmi
1,0.194207130084023
104,0.3501203596120513
17,0.3038027351238634
1maybe,0.3501203596120513
2,0.2253857465579885
20,0.1956316753021441
2012,0.2324050111406903
2nd,0.2806748764088565
3,0.267469896841979
30,0.1999066614978504
300,0.2492541655752122
5,0.1657580764486699
6,0.1836164726598154
7,0.1999066614978504
78265,0.3501203596120513
a,0.3617843053972533
abandon,0.326975622735601
abc,0.326975622735601
about,0.2621328568110203
abraham,0.326975622735601
absolutely,0.290931882312627
abuse,0.2438297615194369
accused,0.2663042096598264
act,0.2214018483365587
acting,0.2413264334907196
actions,0.2706086587789285
actually,0.1627446869052752
adam,0.3520514611821366
add,0.2266115631967702
addict,0.3126563396819113
afghanistan,0.326975622735601
africa,0.2792386936243788
african,0.2755199297769435
after,0.2597266605228449
afternoon,0.2706086587789285
again,0.2735994006296418
age,0.2021736636650511
aged,0.3021214586608924
ago,0.2321399190315707
agrees,0.326975622735601
ahead,0.2663042096598264
alan,0.3126563396819113
alex,0.3126563396819113
alienate,0.3501203596120513
all,0.2618808648686465
allege,0.3501203596120513
alone,0.1897715316462358
alot,0.2214018483365587
already,0.1946119178981561
also,0.1252311838145944
always,0.2476922705480013
am,0.1201737720433838
amiable,0.3501203596120513
amongst,0.2464669065431087
an,0.2317170440227769
and,0.3997498253102883
andy,0.3126563396819113
angry,0.2956744160897587
another,0.151483321581016
answered,0.3021214586608924
anti,0.248337095515738
any,0.1584311033276715
anybody,0.2464669065431087
anything,0.1481379701536512
anytime,0.3021214586608924
apartment,0.2522110832706662
ape,0.2887232099089763
appel,0.3501203596120513
apple,0.2937249036291447
applied,0.326975622735601
appreciation,0.326975622735601
apprehend,0.3501203596120513
april,0.2806748764088565
ar,0.2706086587789285
are,0.1923335595234686
area,0.2005359980159416
ariel,0.3501203596120513
arm,0.2706086587789285
armbar,0.3501203596120513
around,0.2520189412789108
arrest,0.2706086587789285
arrested,0.2324050111406903
arrests,0.3021214586608924
artic,0.3501203596120513
as,0.2753839819160887
asatru,0.326975622735601
ask,0.3187855128860412
asked,0.2366683294735546
asking,0.2587342944276961
asks,0.2937249036291447
asleep,0.3501203596120513
ass,0.2887232099089763
aswell,0.2937249036291447
at,0.326616912749491
ate,0.3126563396819113
atleast,0.3126563396819113
attachment,0.326975622735601
attacker,0.3126563396819113
attempted,0.3021214586608924
attitude,0.2753612228189775
australia,0.2663042096598264
austria,0.326975622735601
austrian,0.326975622735601
auto,0.3126563396819113
away,0.279833567375064
awhile,0.2663042096598264
awoke,0.3501203596120513
baby,0.2789523893847733
back,0.2976967395516473
backpack,0.3126563396819113
bad,0.2456693174486829
bag,0.2587342944276961
ballot,0.3501203596120513
balls,0.2806748764088565
bankers,0.3126563396819113
bankruptcy,0.3501203596120513
bar,0.2266115631967702
bars,0.3021214586608924
bastard,0.2937249036291447
bautista,0.3126563396819113
be,0.2884561914744113
beast,0.2706086587789285
beat,0.2197744408685104
beaten,0.2438297615194369
beating,0.2706086587789285
beautiful,0.1836164726598154
because,0.2414569529406864
becouse,0.2937249036291447
been,0.0966227136103723
before,0.1966638397715572
behaving,0.326975622735601
behaviour,0.3021214586608924
behind,0.2508300592969267
being,0.2439156302547327
believe,0.2287279337381069
bell,0.2623663603677288
berber,0.3501203596120513
bernard,0.3501203596120513
best,0.1736670061958214
bet,0.2826346854458359
better,0.2202047568328548
between,0.2811511596825986
billy,0.3126563396819113
bit,0.2166627123387813
bitch,0.2806748764088565
biting,0.3501203596120513
black,0.2567999014870634
blanket,0.3126563396819113
blesses,0.3501203596120513
bloch,0.3501203596120513
blonde,0.2587342944276961
blue,0.1926260016676364
book,0.198806898300194
boy,0.3022435712586659
boyfriend,0.2753612228189775
boys,0.2845824348275702
brain,0.2522110832706662
break,0.238943186013845
breaking,0.2753612228189775
british,0.2045375326424109
brother,0.2611197844044521
brought,0.2266115631967702
brown,0.1670064019505885
buddies,0.3021214586608924
bumps,0.3501203596120513
burrowed,0.3501203596120513
bus,0.2248164958641349
but,0.265159769647891
butchy,0.3501203596120513
butt,0.2937249036291447
button,0.3313513557418632
by,0.253654106296926
ca,0.1645348318983235
california,0.2248164958641349
call,0.3213088993419135
called,0.233121873621537
calling,0.3068560024147448
calls,0.2663042096598264
came,0.2246412012565042
camera,0.2663042096598264
cameron,0.3126563396819113
can,0.24468746548148
canadian,0.2867129454680772
cannot,0.2082858089721149
capped,0.3501203596120513
car,0.2723034740636727
cars,0.238943186013845
case,0.2095947365464051
caught,0.2723034740636727
cause,0.1897715316462358
cbs,0.326975622735601
celebrate,0.2753612228189775
centered,0.326975622735601
certain,0.2344918305773595
chance,0.2413264334907196
charged,0.2214018483365587
chases,0.3501203596120513
chatroom,0.3501203596120513
check,0.2266490866696048
cheered,0.3501203596120513
cheering,0.3501203596120513
chess,0.3501203596120513
chest,0.3520514611821366
chick,0.326975622735601
child,0.2323660661683922
childish,0.326975622735601
children,0.144959639290806
china,0.3021214586608924
chocolate,0.2937249036291447
chris,0.3021214586608924
christ,0.2366683294735546
christentum,0.326975622735601
christian,0.2045375326424109
church,0.2324050111406903
cities,0.2324050111406903
city,0.1639322803392204
claims,0.238943186013845
class,0.2841334227333135
clearer,0.3501203596120513
cleveland,0.3021214586608924
cliams,0.3501203596120513
click,0.2137229725088788
climes,0.326975622735601
close,0.2095947365464051
clueless,0.326975622735601
cnn,0.2806748764088565
co,0.2137229725088788
coat,0.2937249036291447
coke,0.3126563396819113
cokes,0.3501203596120513
com,0.2078782643865963
come,0.2304848125420995
comercial,0.3501203596120513
comes,0.1999066614978504
coming,0.1811664077667871
commercial,0.2587342944276961
commons,0.3501203596120513
complaining,0.3021214586608924
completely,0.2413264334907196
concerts,0.326975622735601
confuse,0.3501203596120513
conquer,0.3126563396819113
consider,0.290931882312627
conslour,0.3501203596120513
convicting,0.3501203596120513
convinced,0.3501203596120513
cookies,0.3759795978734175
cool,0.2166627123387813
coon,0.2663042096598264
cops,0.2492541655752122
couch,0.326975622735601
could,0.256816220930708
country,0.1279093359927187
couple,0.1780514483814083
courier,0.3126563396819113
crap,0.1956316753021441
crowd,0.2806748764088565
cue,0.3501203596120513
cultural,0.2464669065431087
curve,0.326975622735601
d,0.2637038543468052
