word,npmi-bias,him-npmi,him-count,them-npmi,them-count
them,-0.49489515972908066,0.1402851172824357,3,0.6351802770115164,514
their,-0.21734674036292642,0.1274082602174431,3,0.3447550005803695,84
whites,-0.1739604801521857,0.0885876115387064,1,0.2625480916908921,27
were,-0.17338673425472262,0.098163922986449,1,0.2715506572411716,27
than,-0.16509304180773948,0.1069119607676887,1,0.2720050025754282,25
many,-0.1648409808264794,0.1110577222319198,1,0.2758987030583992,25
been,-0.143648573207324,0.0966227136103723,1,0.2402712868176963,20
are,-0.1383779372382679,0.1923335595234686,10,0.3307114967617365,111
us,-0.13826473371801382,0.1061611260340441,1,0.2444258597520579,19
children,-0.12592359283671803,0.144959639290806,1,0.270883232127524,17
they,-0.12233660481478897,0.2520456130388453,16,0.3743822178536343,146
also,-0.1212379925385158,0.1252311838145944,1,0.2464691763531102,16
those,-0.10962505800520192,0.1074169956695065,1,0.2170420536747084,14
every,-0.1091563837060715,0.1210938016496663,1,0.2302501853557378,14
more,-0.10216486437037978,0.1626607499389189,3,0.2648256143092987,32
will,-0.100931922465336,0.2139581321178905,7,0.3148900545832265,64
any,-0.09766218668842488,0.1584311033276715,2,0.2560932900160964,22
most,-0.09666910219444161,0.1828144960509097,2,0.2794835982453513,22
there,-0.09603146703538859,0.1724211451078306,5,0.2684526121432192,46
these,-0.09320185387177249,0.1558794403425057,2,0.2490812942142782,21
coming,-0.09318295510438379,0.1811664077667871,1,0.2743493628711709,12
kids,-0.09268411942339647,0.1699605316686892,2,0.2626446510920857,21
only,-0.0885020844090331,0.1545253284405032,2,0.2430274128495363,20
want,-0.08698917263752667,0.1943685727792139,3,0.2813577454167406,28
stop,-0.08616576255222239,0.1689284238086642,1,0.2550941863608866,11
re,-0.079239466727075,0.1245779700802191,1,0.2038174368072941,10
ever,-0.0789264198214463,0.137441303610992,1,0.2163677234324383,10
thing,-0.07884342287527368,0.1406756683673469,1,0.2195190912426206,10
seen,-0.07855362862439802,0.151483321581016,1,0.230036950205414,10
read,-0.07855362862439802,0.151483321581016,1,0.230036950205414,10
friends,-0.07831548922694859,0.1598723978269654,1,0.238187887053914,10
through,-0.0779845283507212,0.1709136359926697,1,0.2488981643433909,10
much,-0.07750905647962078,0.1831527220635978,2,0.2606617785432186,18
do,-0.07658220329958773,0.2314193796318925,9,0.3080015829314802,65
our,-0.0759706625700631,0.1865373109093207,4,0.2625079734793838,32
we,-0.07331158043555461,0.2178511208682787,8,0.2911627013038333,57
way,-0.0725605325496661,0.1691292544834133,2,0.2416897870330794,17
im,-0.06986069351080579,0.1410915116975153,1,0.2109522052083211,9
each,-0.06892503963616309,0.1788148497826529,1,0.247739889418816,9
of,-0.06340680350654043,0.3077842161310669,39,0.3711910196376073,213
its,-0.060910859076463514,0.1696823185637002,2,0.2305931776401637,15
am,-0.0603317705834404,0.1201737720433838,1,0.1805055426268242,8
world,-0.0601096858463715,0.1339840866625283,1,0.1940937725088998,8
anything,-0.0598567569644545,0.1481379701536512,1,0.2079947271181057,8
long,-0.059830118041371005,0.1495501435169778,1,0.2093802615583488,8
actually,-0.059568936910553705,0.1627446869052752,1,0.2223136238158289,8
wait,-0.0589869622662513,0.1888508978078608,1,0.2478378600741121,8
own,-0.057743466845742386,0.2172493143846898,3,0.2749927812304322,21
people,-0.057345399831394306,0.2327213268216019,8,0.2900667266529962,50
not,-0.05563061276463671,0.2576699544442242,12,0.3133005672088609,71
ve,-0.0544669270787799,0.1760816314024591,2,0.230548558481239,14
have,-0.0515959903189841,0.2789941667429293,20,0.3305901570619134,109
country,-0.04915206553081819,0.1279093359927187,1,0.1770614015235369,7
ca,-0.048638846564914406,0.1645348318983235,1,0.2131736784632379,7
today,-0.0485677379791461,0.1689284238086642,1,0.2174961617878103,7
best,-0.0484887601103815,0.1736670061958214,1,0.2221557663062029,7
might,-0.04831522128863791,0.1836164726598154,1,0.2319316939484533,7
cause,-0.04820263998984439,0.1897715316462358,1,0.2379741716360802,7
negroes,-0.0481113031094387,0.1946119178981561,1,0.2427232210075948,7
turn,-0.04807171597679499,0.1966702417957716,1,0.2447419577725666,7
took,-0.04796368229229961,0.2021736636650511,1,0.2501373459573507,7
kill,-0.04778510807626088,0.2109360351157493,1,0.2587211431920102,7
watch,-0.047661855807302006,0.1824779877494868,2,0.2301398435567888,13
no,-0.04437646556622768,0.2074761707059429,5,0.2518526362721706,29
jews,-0.042848525535994775,0.2296732356810694,3,0.2725217612170642,18
m,-0.041050964693813585,0.1385443094307083,2,0.1795952741245219,12
maybe,-0.040286492397466706,0.1992188645592831,2,0.2395053569567498,12
because,-0.040128933647716,0.2414569529406864,5,0.2815858865884024,28
far,-0.039923017898406604,0.2214389654930056,2,0.2613619833914122,12
even,-0.0379011590936888,0.2062434900294457,3,0.2441446491231345,17
never,-0.037892881533900885,0.2068096930983887,3,0.2447025746322896,17
two,-0.0365554869320521,0.1382349766352128,1,0.1747904635672649,6
another,-0.03643507093320772,0.151483321581016,1,0.1879183925142237,6
such,-0.036339714704652304,0.1610052936256767,1,0.197345008330329,6
men,-0.03619340148170591,0.1743756369789151,1,0.210569038460621,6
until,-0.036168194740662185,0.1765536466798592,1,0.2127218414205214,6
everyone,-0.03615949433623211,0.1772978022154399,1,0.213457296551672,6
hear,-0.03614161863620388,0.1788148497826529,1,0.2149564684188568,6
hard,-0.036123076159959494,0.1803720347855271,1,0.2164951109454866,6
stupid,-0.036093915502785984,0.1827882896283735,1,0.2188822051311595,6
pass,-0.035842870550585604,0.2021736636650511,1,0.2380165342156367,6
large,-0.035538102339760375,0.2230812987032297,1,0.2586194010429901,6
phone,-0.035538102339760375,0.2230812987032297,1,0.2586194010429901,6
t,-0.032830577048852116,0.2299151775094846,9,0.2627457545583367,45
think,-0.03271842507711928,0.2345877534884612,5,0.2673061785655805,26
give,-0.03155283336960679,0.2757908745232044,4,0.3073437078928112,21
can,-0.028937733235522206,0.24468746548148,8,0.2736251987170022,39
as,-0.028560001242672994,0.2753839819160887,14,0.3039439831587617,66
too,-0.026324643375054385,0.2008267567310343,3,0.2271514001060887,15
few,-0.02606868051072808,0.2609527984506781,6,0.2870214789614062,29
take,-0.02454061509856581,0.1899330561968225,2,0.2144736712953883,10
help,-0.024232018476952694,0.2273338852219474,2,0.2515659036989001,10
guess,-0.024218938174457194,0.2287279337381069,2,0.2529468719125641,10
all,-0.02354883739359842,0.2618808648686465,13,0.2854297022622449,59
here,-0.022954110059917515,0.1826600502209034,4,0.2056141602808209,19
what,-0.0228072985218703,0.2243939958504739,6,0.2472012943723442,28
should,-0.022530820981659316,0.2563665288093287,6,0.278897349790988,28
