word,npmi-bias,him-npmi,him-count,woman-npmi,woman-count
woman,-0.53111112011187,0.1695829205174291,1,0.7006940406292991,75
youtube,-0.24980566740075438,0.1137997681646556,2,0.36360543556541,12
men,-0.21132495765431972,0.1743756369789151,1,0.3857005946332348,6
two,-0.17443336011351748,0.1382349766352128,1,0.3126683367487303,4
im,-0.1741814067129099,0.1410915116975153,1,0.3152729184104252,4
year,-0.173665783979513,0.2045727456292547,3,0.3782385296087677,9
eyes,-0.17282042459620423,0.156062857334212,1,0.3288832819304162,4
bus,-0.16570987089766628,0.2248164958641349,1,0.3905263667618012,4
beaten,-0.16349826733179443,0.2438297615194369,1,0.4073280288512313,4
black,-0.1627449446978123,0.2567999014870634,8,0.4195448461848757,17
white,-0.1602957161842093,0.3024393613720301,22,0.4627350775562394,35
old,-0.1602913555877615,0.2274732232698586,4,0.3877645788576201,10
who,-0.15556197734992722,0.2502328775065798,8,0.405794854856507,16
been,-0.1493490579949846,0.0966227136103723,1,0.2459717716053569,3
http,-0.1487004613392129,0.1071640257403024,1,0.2558644870795153,3
re,-0.1475655220376244,0.1245779700802191,1,0.2721434921178435,3
another,-0.14565768610374522,0.151483321581016,1,0.2971410076847612,3
years,-0.14429736753525949,0.1705203699199446,2,0.3148177374552041,5
yourself,-0.14285109258369158,0.1870527961926258,1,0.3299038887763174,3
murder,-0.1415609408804013,0.2021736636650511,1,0.3437346045454524,3
beat,-0.1399869600606506,0.2197744408685104,1,0.359761400929161,3
police,-0.139901092790231,0.2617455264941375,3,0.4016466192843685,7
her,-0.13918339065917007,0.2693092534055421,7,0.4084926440647122,13
arrested,-0.1388098531943081,0.2324050111406903,1,0.3712148643349984,3
dating,-0.13545572242536302,0.2663042096598264,1,0.4017599320851894,3
looking,-0.1275950731847519,0.2206623756158038,3,0.3482574488005557,6
good,-0.12238842731110972,0.1966091049117622,4,0.3189975322228719,7
1,-0.11993580876851431,0.194207130084023,2,0.3141429388525373,4
their,-0.11436751794907662,0.1274082602174431,3,0.2417757781665197,5
me,-0.11395104965887098,0.2123035189495584,6,0.3262545686084294,9
us,-0.1108973431570042,0.1061611260340441,1,0.2170584691910483,2
than,-0.1108637051649811,0.1069119607676887,1,0.2177756659326698,2
those,-0.1108410178144005,0.1074169956695065,1,0.218258013483907,2
am,-0.11025160301596419,0.1201737720433838,1,0.230425375059348,2
live,-0.1098621370005925,0.1282517467031396,1,0.2381138837037321,2
world,-0.1095781477442033,0.1339840866625283,1,0.2435622344067316,2
thing,-0.10923865673066968,0.1406756683673469,1,0.2499143250980166,2
