word,himself-npmi
100,0.411980495176679
395023,0.5405416191615336
5syk36rbphm,0.5405416191615336
84,0.5017374050672441
a,0.4042602380713353
abraham,0.5219256320123388
accusation,0.5405416191615336
accusations,0.5219256320123388
after,0.3699204349915832
agent,0.510319685506992
aka,0.4948704473088791
all,0.3413723566180032
allen,0.4797689778904557
and,0.3279399215096387
any,0.3326518904910585
anyone,0.353924139493649
apologize,0.4948704473088791
are,0.3048127100279323
arrested,0.4439918399175355
ass,0.447571284735025
avoid,0.4605671502639468
bad,0.3801919606975366
be,0.3431076649113255
because,0.333940838198078
before,0.3668709390186548
being,0.3554351624630274
biewers,0.5405416191615336
blew,0.5017374050672441
bomber,0.5017374050672441
but,0.3991900301082231
by,0.4359243480562185
camera,0.4722785906164142
chatroom,0.5405416191615336
cheering,0.5405416191615336
couple,0.3977926477519722
curious,0.4797689778904557
d,0.3735568716692449
day,0.340803473690107
dea,0.5405416191615336
dealer,0.5017374050672441
demanding,0.510319685506992
desperately,0.5219256320123388
despite,0.4841504660179657
devil,0.4841504660179657
devoid,0.5405416191615336
did,0.430176060255964
digital,0.5219256320123388
divine,0.5219256320123388
doubtful,0.5219256320123388
drug,0.4391174948061793
dynamite,0.5219256320123388
e,0.4146394211534098
either,0.4155587891066234
entertainment,0.4758419842921146
even,0.3445342280246553
everyone,0.3971446174559424
expressed,0.5757131329421725
false,0.4581012316049836
federation,0.5405416191615336
film,0.4494786329622445
find,0.3510104423708422
for,0.3554248393656444
forum,0.3778917138589484
friend,0.4868381071024025
from,0.3608659054428824
fun,0.4423065109024717
funny,0.4194209129529767
future,0.408644140585384
get,0.379124438522813
god,0.3845904272958965
gotten,0.4557740224658173
guy,0.3851016879367483
hanged,0.5219256320123388
have,0.2209419484581273
having,0.408644140585384
he,0.3963642610234274
here,0.3809325094870698
him,0.4366755076356669
himself,0.7499121899325186
his,0.3420226729240841
home,0.3602105552189666
https,0.3723187620458866
i,0.3937876639937875
if,0.2684059093425819
immigration,0.4320157480588263
in,0.4291969586445036
increased,0.510319685506992
interrupted,0.5405416191615336
into,0.3453077468697635
introduced,0.510319685506992
iraq,0.510319685506992
is,0.2726847912611772
islam,0.4631910127477455
it,0.3796146110184662
jew,0.3835820623019155
jewdo,0.5405416191615336
just,0.3589537136315811
killed,0.4236210647752854
know,0.3209855094363343
lachkrampf,0.5405416191615336
lied,0.5219256320123388
live,0.3545240253909668
lol,0.4004688922664861
lycurgus,0.5219256320123388
m,0.314685562484159
mail,0.4376048117284454
maxi,0.5405416191615336
maybe,0.3691428020004901
me,0.2898313752371921
meaningless,0.5219256320123388
members,0.4174513250388897
might,0.4025714180635226
million,0.440683318492337
mods,0.4758419842921146
moment,0.440683318492337
moments,0.510319685506992
more,0.3863960505065221
morning,0.440683318492337
murders,0.4758419842921146
my,0.2512675258103578
n,0.2693702698528619
negro,0.3788004256195708
new,0.3289311258979525
nigga,0.4948704473088791
nordic,0.4225357727084399
not,0.2618815796826141
numerous,0.5405416191615336
obvious,0.4841504660179657
of,0.4149799409649638
on,0.2219475752335968
one,0.3740761974010825
oooops,0.5405416191615336
or,0.2684059093425819
org,0.3792604058314157
out,0.2798260792023133
overdosed,0.5405416191615336
pact,0.5405416191615336
page,0.4184260615531236
paulo,0.5405416191615336
pennsylvania,0.4891176286092882
people,0.36416702995922
pieces,0.4948704473088791
ple,0.4258694821794012
police,0.3946300137447628
pope,0.5405416191615336
popish,0.5405416191615336
pounds,0.5017374050672441
process,0.4948704473088791
protect,0.4581012316049836
putinistan,0.5405416191615336
racism,0.4514749232260029
rare,0.510319685506992
reason,0.408644140585384
reich,0.4841504660179657
reminds,0.4797689778904557
rid,0.4722785906164142
russia,0.4423065109024717
russian,0.4423065109024717
s,0.2335287865742856
said,0.3672434372532052
sao,0.5405416191615336
saw,0.3735568716692449
scene,0.4376048117284454
seems,0.4070560788344652
set,0.4247318541129861
sh2dnwk6u1a,0.5405416191615336
shoots,0.4948704473088791
show,0.3602105552189666
sign,0.4423065109024717
so,0.3607737233691789
something,0.3676183468050116
stormfront,0.3654043928935807
story,0.3904990235269153
straight,0.4457447104334328
suicide,0.510319685506992
superiority,0.4758419842921146
support,0.4018609548850291
suspect,0.4557740224658173
t,0.2661717946213722
than,0.3357003369771204
that,0.4250147084592657
the,0.3905958054933838
there,0.2692821160500044
these,0.3303530844874243
they,0.3085494639410857
think,0.3275392160315305
third,0.4391174948061793
this,0.3712764294271908
to,0.3916079943314874
too,0.3396072995408529
tried,0.4214747368165805
trouble,0.4535696646876842
trying,0.3893753639885989
ukrainian,0.4758419842921146
unmoderated,0.5219256320123388
up,0.2912248940604061
used,0.3904990235269153
was,0.4666660471195994
way,0.4215089305525874
were,0.3279339202081211
where,0.343770156870354
while,0.3774428496519358
white,0.2321591817360644
who,0.4330017289130046
wish,0.4236210647752854
with,0.3311783886637134
would,0.2922874508343848
www,0.3166658899553392
yesterday,0.4631910127477455
you,0.205580727883141
youtube,0.2921686342294594
