word,they-npmi
00,0.0600280242657942
000,0.1320216081096716
06,0.1561245901735041
1,0.1300630075150072
10,0.1409346961476369
100,0.1522098963560468
1000,0.1651756407106385
10pm,0.1920924420591161
10th,0.2053333519157423
11,0.0625652415980004
11000,0.217327731074361
116,0.1920924420591161
116782,0.217327731074361
11alive,0.217327731074361
12,0.0694561544794272
1223andplentyofithttp,0.217327731074361
13,0.1001190080391287
14,0.0541376398664525
15,0.1552613843736778
150,0.1420994990088284
15101,0.217327731074361
16,0.0951796954913278
17,0.1525450590056092
1700s,0.217327731074361
19,0.1410993131852747
1930s,0.217327731074361
1933,0.217327731074361
1940,0.176561874251632
1970,0.1920924420591161
1973,0.176561874251632
1981,0.1920924420591161
19x18instockhttp,0.217327731074361
1hurryonthis,0.217327731074361
1million,0.217327731074361
1st,0.1632452344374357
2,0.1268224381670997
2000,0.176561874251632
2001,0.1313160586217517
2004,0.1651756407106385
2006,0.1267141572690539
200lb,0.217327731074361
2011,0.1525450590056092
2015,0.1561245901735041
2056,0.2053333519157423
22,0.1150399889144533
223,0.2318090100458147
23rd,0.1920924420591161
25,0.1393119900587706
2508,0.1258258172621321
25962136,0.217327731074361
26,0.1225090258686471
27,0.1313160586217517
29,0.176561874251632
2942,0.217327731074361
29th,0.176561874251632
3,0.1345860658956104
30,0.1424652439348788
300,0.1085400559300101
308,0.1651756407106385
30c,0.217327731074361
30s,0.196417415740579
311,0.176561874251632
32,0.1186345234250341
35,0.1225090258686471
350,0.1561245901735041
38,0.1632452344374357
395023,0.217327731074361
4,0.1147274415491898
40,0.1362083210792106
4033633761833,0.217327731074361
40k,0.1920924420591161
40s,0.1920924420591161
426,0.217327731074361
43,0.1561245901735041
44c,0.217327731074361
48,0.1651756407106385
4971848,0.217327731074361
5,0.1465599017139031
50,0.1662426486477681
50f,0.217327731074361
549,0.217327731074361
556,0.217327731074361
56,0.1769675873166649
5syk36rbphm,0.217327731074361
6,0.1066141274070655
60,0.1632452344374357
604,0.217327731074361
62,0.1651756407106385
62x25,0.217327731074361
62x39,0.176561874251632
62x39arabic,0.217327731074361
63,0.1920924420591161
65,0.1920924420591161
6o4chva8,0.217327731074361
7,0.1234762740404972
70,0.1116857312652123
700,0.18258851709755
775,0.217327731074361
78,0.176561874251632
78265,0.217327731074361
7k,0.217327731074361
8,0.1748454050841283
828,0.176561874251632
84,0.1651756407106385
860,0.217327731074361
88,0.0359862714368283
8pm,0.217327731074361
9,0.0552684342952096
90,0.1364034673523958
907,0.217327731074361
95,0.1420994990088284
953,0.217327731074361
958,0.217327731074361
96,0.176561874251632
98,0.176561874251632
987,0.217327731074361
_,0.051710009745428
_6w,0.217327731074361
a,0.3053305338158821
abc,0.1920924420591161
abhor,0.217327731074361
abiding,0.1920924420591161
ability,0.1485823526637986
able,0.2054201285083038
abomination,0.1651756407106385
abortion,0.1485823526637986
about,0.2588517819835206
above,0.1393119900587706
abroad,0.1651756407106385
absolut,0.217327731074361
absolute,0.1925911328879598
absolutely,0.1977488374104281
absorbing,0.217327731074361
abundant,0.217327731074361
abuse,0.1437295882277297
acadamys,0.217327731074361
accept,0.2083590690296497
acceptable,0.1364034673523958
accepted,0.1364034673523958
access,0.1673999474058928
accessories,0.217327731074361
accident,0.1420994990088284
accommonadate,0.217327731074361
accomodation,0.217327731074361
accomplices,0.217327731074361
accomplish,0.1889826759033416
accomplished,0.2053333519157423
according,0.1814401368303198
accordingly,0.1920924420591161
account,0.1910245015259184
accounted,0.217327731074361
accounts,0.1561245901735041
accross,0.217327731074361
