word,npmi-bias,their-npmi,their-count,woman-npmi,woman-count
woman,-0.5229791197003177,0.1777149209289814,5,0.7006940406292991,75
youtube,-0.3146237936802086,0.0489816418852014,4,0.36360543556541,12
man,-0.2905848789295747,0.1336580457501177,4,0.4242429246796924,11
bus,-0.2658208533301268,0.1247055134316744,1,0.3905263667618012,4
her,-0.2635871062902636,0.1449055377744486,8,0.4084926440647122,13
beaten,-0.26278525568929934,0.144542773161932,1,0.4073280288512313,4
year,-0.2550730483643041,0.1231654812444636,5,0.3782385296087677,9
old,-0.2534622457021486,0.1343023331554715,6,0.3877645788576201,10
death,-0.24901923292846972,0.124999188696737,2,0.3740184216252067,5
tv,-0.2471433500886584,0.0598651840028228,1,0.3070085340914812,3
yourself,-0.24437513309832498,0.0855287556779924,1,0.3299038887763174,3
murder,-0.24255472920084692,0.1011798753446055,1,0.3437346045454524,3
aryan,-0.2405114599677351,0.1178155739449193,1,0.3583270339126544,3
men,-0.2404909905209824,0.1452096041122524,3,0.3857005946332348,6
female,-0.24008847387621382,0.121150894318967,1,0.3612393681951808,3
arrested,-0.2386010456385768,0.1326138186964216,1,0.3712148643349984,3
pm,-0.22829272756495717,0.1165079373065148,2,0.344800664871472,4
killed,-0.22387874184623602,0.1519541654315299,2,0.3758329072777659,4
police,-0.219129996351018,0.1825166229333505,5,0.4016466192843685,7
check,-0.2094556401002577,0.0709911815199079,1,0.2804468216201656,2
lol,-0.20871968758380588,0.0794487283213988,1,0.2881684159052047,2
goes,-0.2076466045036808,0.0912918932189222,1,0.298938497722603,2
gun,-0.2071521043053799,0.0965737920136601,1,0.30372589631904,2
dr,-0.20693785832844297,0.098830357069967,1,0.30576821539841,2
posted,-0.2068267783467448,0.0999929882092576,1,0.3068197665560024,2
male,-0.2065960662526963,0.1023921247912393,1,0.3089881910439356,2
african,-0.2045422948829314,0.1228988836682373,1,0.3274411785511687,2
18,-0.2039546936545679,0.1285126345508593,1,0.3324673282054272,2
stick,-0.2039546936545679,0.1285126345508593,1,0.3324673282054272,2
1,-0.2039274139825224,0.1102155248700149,3,0.3141429388525373,4
mate,-0.2027801533556714,0.1394371894436528,1,0.3422173427993242,2
rape,-0.2027801533556714,0.1394371894436528,1,0.3422173427993242,2
gang,-0.2025067873206007,0.1419266238361546,1,0.3444334111567553,2
prison,-0.2025067873206007,0.1419266238361546,1,0.3444334111567553,2
court,-0.2025067873206007,0.1419266238361546,1,0.3444334111567553,2
attacks,-0.202217226737592,0.144542773161932,1,0.346759999899524,2
17,-0.2012297010502846,0.1533114181036208,1,0.3545411191539054,2
victim,-0.2012297010502846,0.1533114181036208,1,0.3545411191539054,2
wiggers,-0.2008513268774381,0.1566111308302536,1,0.3574624577076917,2
turns,-0.1995064845924744,0.1680892027422045,1,0.3675956873346789,2
arrest,-0.1989644849493908,0.1726111339893763,1,0.3715756189387671,2
11,-0.19764311762213302,0.149362175639193,2,0.347005293261326,3
throat,-0.1968716042478332,0.1895639383898595,1,0.3864355426376927,2
wednesday,-0.1968716042478332,0.1895639383898595,1,0.3864355426376927,2
assaulting,-0.19592823624319927,0.1969625834495916,1,0.3928908196927909,2
attractive,-0.1947729537969509,0.2058359814656028,1,0.4006089352625537,2
dating,-0.1901054347937006,0.2116544972914888,2,0.4017599320851894,3
white,-0.18810620220006358,0.2746288753561758,79,0.4627350775562394,35
boy,-0.1714675623653093,0.1617842297322672,3,0.3332517920975765,3
black,-0.1709603525473253,0.2485844936375504,33,0.4195448461848757,17
beat,-0.16844470079951818,0.1913167001296428,3,0.359761400929161,3
2,-0.1665189609737967,0.1447096484101345,5,0.3112286093839312,4
im,-0.1661163885705026,0.1491565298399226,5,0.3152729184104252,4
part,-0.16526710899443547,0.1078006852693778,2,0.2730677942638133,2
probably,-0.1646545823279033,0.1157922392922623,2,0.2804468216201656,2
guy,-0.164015559435083,0.171454907529983,5,0.335470466965066,4
teacher,-0.1631978527535389,0.1339390509532891,2,0.297136903706828,2
looking,-0.161639967824241,0.1866174809763147,9,0.3482574488005557,6
street,-0.1615438219306046,0.1532969530894641,2,0.3148407750200687,2
8,-0.1608975672980417,0.1605510171898201,2,0.3214485844878618,2
broadcast,-0.159784769210654,0.1726825589947732,2,0.3324673282054272,2
takes,-0.1577257852946835,0.1940716541226714,2,0.3517974394173549,2
service,-0.1577257852946835,0.1940716541226714,2,0.3517974394173549,2
standing,-0.1577257852946835,0.1940716541226714,2,0.3517974394173549,2
apartment,-0.15742244997107552,0.1971186691828299,2,0.3545411191539054,2
he,-0.15659003200845872,0.1061954156671548,6,0.2627854476756135,4
video,-0.1565874656566879,0.1131757072013528,4,0.2697631728580407,3
a,-0.1555345545823985,0.2905764311074847,168,0.4461109856898832,49
me,-0.1530132134975191,0.1732413551109103,18,0.3262545686084294,9
5,-0.15191444824650568,0.0635673180707637,1,0.2154817663172694,1
beautiful,-0.1508641989542076,0.081978521988921,1,0.2328427209431286,1
stuff,-0.15036140768858308,0.0902909880072975,1,0.2406523956958806,1
html,-0.1502365864975691,0.0923103538171078,1,0.2425469403146769,1
wrong,-0.1501061544203331,0.0944026654577491,1,0.2445088198780822,1
line,-0.14996962446995138,0.0965737920136601,1,0.2465434164836115,1
p,-0.14996962446995138,0.0965737920136601,1,0.2465434164836115,1
march,-0.1496759835009086,0.1011798753446055,1,0.2508558588455141,1
internet,-0.14951751933050428,0.103630921940498,1,0.2531484412710023,1
gone,-0.14943502998771852,0.1048975390589706,1,0.2543325690466891,1
places,-0.149350216632957,0.1061933440795274,1,0.2555435607124844,1
month,-0.1492629533950221,0.1075198105402152,1,0.2567827639352373,1
brother,-0.1492629533950221,0.1075198105402152,1,0.2567827639352373,1
texas,-0.14917310399889488,0.1088785288564638,1,0.2580516328553587,1
green,-0.14908052059063837,0.1102712191480814,1,0.2593517397387198,1
15,-0.1489850423918149,0.1116997458867943,1,0.2606847882786092,1
quite,-0.1489850423918149,0.1116997458867943,1,0.2606847882786092,1
