word,their-npmi
00,0.1023921247912393
000,0.1329810664352365
01,0.1895639383898595
041809,0.2568513458283595
1,0.1102155248700149
10,0.1545863325133435
100,0.1863203187812589
100yrs,0.2568513458283595
105,0.2568513458283595
11,0.149362175639193
1160979,0.2568513458283595
116782,0.2568513458283595
11alive,0.2568513458283595
11th,0.2568513458283595
12,0.1116997458867943
13,0.2132407391081721
142nd,0.2568513458283595
15,0.1116997458867943
16,0.1370620869738341
17,0.1533114181036208
18,0.1285126345508593
189,0.2568513458283595
1million,0.2568513458283595
2,0.1447096484101345
20,0.1667845510139449
200,0.1680892027422045
2003,0.1776083799555033
2007,0.1969625834495916
2009,0.1370620869738341
200lb,0.2568513458283595
2010,0.1419266238361546
2012,0.1326138186964216
2015,0.1969625834495916
20s,0.2752098565410293
220,0.2568513458283595
222065,0.2568513458283595
24,0.1601463219612969
25,0.1866384328318623
275,0.1969625834495916
2nd,0.183201275900452
3,0.1453777954251519
300,0.1502161660332812
30s,0.1969625834495916
311,0.2169904706497715
32,0.1601463219612969
33,0.1726111339893763
4,0.1437803135002706
41,0.2058359814656028
4100,0.2568513458283595
4971848,0.2568513458283595
5,0.0635673180707637
50,0.1519541654315299
5000,0.2169904706497715
58,0.2321901301619822
6,0.1266817834677197
6d,0.2568513458283595
7,0.14336271322211
70,0.1533114181036208
8,0.1605510171898201
80,0.183201275900452
828,0.2169904706497715
85,0.1680892027422045
9,0.1422356563826358
_,0.0530595098312488
a,0.2905764311074847
abiding,0.2321901301619822
ability,0.2327433294787483
able,0.1988739016220854
abound,0.2568513458283595
about,0.2835564956964731
above,0.1590212411742522
absolutely,0.1394371894436528
abuse,0.2359349459119077
abusing,0.2321901301619822
academia,0.2568513458283595
accent,0.2321901301619822
accept,0.1502161660332812
acceptable,0.1776083799555033
access,0.1680892027422045
accomplish,0.1895639383898595
according,0.1946791445942413
accounts,0.2666401743120437
accusations,0.2321901301619822
achievement,0.2486959660241662
achievers,0.2568513458283595
across,0.1894614811228341
act,0.16541800045957
acting,0.1859071278031822
action,0.227967982610658
actions,0.216098543265459
active,0.1811131243763583
acts,0.1726111339893763
actual,0.1533114181036208
actually,0.2075736466452067
add,0.1707711069108337
adding,0.1969625834495916
admin,0.2169904706497715
admirable,0.2568513458283595
admire,0.2486959660241662
adopt,0.2327433294787483
advance,0.1776083799555033
advanced,0.183201275900452
advancement,0.2169904706497715
afa,0.2321901301619822
affirmative,0.2533280560503682
afraid,0.1639558267913485
africa,0.2111629671580729
african,0.1228988836682373
africans,0.2157887780949438
afrocant,0.2568513458283595
after,0.2092521934218847
afternoon,0.216098543265459
again,0.2052930996088773
against,0.2105619938704986
age,0.2241018991273728
aged,0.2486959660241662
agency,0.1969625834495916
agenda,0.2475616024232628
agendas,0.2321901301619822
agents,0.2264992351629147
ages,0.1566111308302536
aggressive,0.2058359814656028
aggressiveness,0.2568513458283595
ago,0.1657816185716525
agreed,0.1601463219612969
ahead,0.2116544972914888
ahero,0.2568513458283595
aid,0.1639558267913485
aids,0.1834540505760899
airport,0.2486959660241662
albanians,0.2058359814656028
alcoholics,0.2568513458283595
aleviated,0.2568513458283595
alive,0.1776083799555033
all,0.286135354055033
allegiance,0.2169904706497715
alliance,0.1680892027422045
allow,0.2085002679652881
allowed,0.2041625087665979
allowing,0.183201275900452
allows,0.2321901301619822
almost,0.1637324240293606
alone,0.1608342520049944
along,0.1411304997227591
alongside,0.2321901301619822
alot,0.121150894318967
already,0.1657489828505985
alright,0.1969625834495916
also,0.2180475787727775
always,0.2193303094484034
am,0.1839906088599412
ambulance,0.2568513458283595
amendment,0.1969625834495916
america,0.1823847616375151
american,0.1597829318090637
americanos,0.2568513458283595
americans,0.1982693504501086
amish,0.2321901301619822
amnesty,0.2321901301619822
among,0.1671433497525256
amongst,0.1473001945501802
ample,0.2321901301619822
an,0.2030667470209439
ancestors,0.2574503287681151
ancestral,0.2321901301619822
anchor,0.2321901301619822
ancient,0.2346661552198916
and,0.3794838744663549
angry,0.1884844786466818
animal,0.1811131243763583
animalistic,0.2568513458283595
animals,0.229596181302443
anime,0.183201275900452
anmigrants,0.2568513458283595
announced,0.183201275900452
another,0.1595754619716503
answered,0.2486959660241662
anti,0.1946210056100361
ants,0.2058359814656028
any,0.190251808694754
anybody,0.1473001945501802
anymore,0.1605510171898201
anyone,0.2203209172218765
anything,0.1702661744988533
anyway,0.1116997458867943
anyways,0.2210076221713012
anywhere,0.1394371894436528
aol,0.1726111339893763
apartment,0.1971186691828299
ape,0.1370620869738341
apes,0.1326138186964216
apologize,0.1969625834495916
apparently,0.2085002679652881
appearance,0.1895639383898595
applaud,0.2568513458283595
approached,0.2568513458283595
approval,0.2568513458283595
arab,0.1726111339893763
arabs,0.1566111308302536
archbishop,0.2568513458283595
are,0.3444547930260156
area,0.1805859560161864
areas,0.2003660267841636
argue,0.1969625834495916
argument,0.1776083799555033
arguments,0.2058359814656028
arkansas,0.2169904706497715
armenians,0.1639558267913485
arms,0.2414039538412185
armyless,0.2568513458283595
arnt,0.2568513458283595
around,0.2416487930549654
arrest,0.1726111339893763
arrested,0.1326138186964216
arrived,0.1895639383898595
arse,0.2596180851961485
