word,npmi-bias,him-npmi,him-count,she-npmi,she-count
she,-0.43882243676333765,0.2312195966170684,4,0.670042033380406,167
her,-0.23217003586797336,0.2693092534055421,7,0.5014792892735155,61
sorry,-0.1530899803441903,0.1936102521370312,1,0.3467002324812215,8
thing,-0.1436906569601466,0.1406756683673469,1,0.2843663253274935,7
eyes,-0.1283691861332238,0.156062857334212,1,0.2844320434674358,6
were,-0.11334857467127278,0.098163922986449,1,0.2115124976577218,5
every,-0.11276799092220971,0.1210938016496663,1,0.233861792571876,5
two,-0.11224673182829017,0.1382349766352128,1,0.250481708463503,5
beautiful,-0.1105102799499697,0.1836164726598154,1,0.2941267526097851,5
goes,-0.11010455905471347,0.1926260016676364,1,0.3027305607223499,5
mother,-0.11010455905471347,0.1926260016676364,1,0.3027305607223499,5
teacher,-0.1000355678045354,0.2439802932247864,2,0.3440158610293218,8
hear,-0.09106283153639846,0.1788148497826529,1,0.2698776813190514,4
stupid,-0.09093703972544787,0.1827882896283735,1,0.2737253293538214,4
kids,-0.09010288267402541,0.1699605316686892,2,0.2600634143427146,7
is,-0.08806621918625479,0.2734735698798907,25,0.3615397890661455,57
only,-0.07554023544017438,0.1545253284405032,2,0.2300655638806776,6
watch,-0.0750018956988319,0.1824779877494868,2,0.2574798834483187,6
does,-0.07461051006249983,0.1992188645592831,2,0.2738293746217829,6
name,-0.07411567295935778,0.2178100398439322,2,0.29192571280329,6
looks,-0.07393730327625359,0.2239867878805612,2,0.2979240911568148,6
has,-0.07299247971929673,0.2242031001817263,5,0.297195579901023,13
n,-0.0699267401675901,0.233224920540254,9,0.3031516607078441,21
http,-0.0674602553899318,0.1071640257403024,1,0.1746242811302342,3
ever,-0.06719609925727171,0.137441303610992,1,0.2046374028682637,3
children,-0.0671069108885273,0.144959639290806,1,0.2120665501793333,3
anything,-0.06706639387551758,0.1481379701536512,1,0.2152043640291688,3
woman,-0.066749439630885,0.1695829205174291,1,0.2363323601483141,3
until,-0.06663010995803559,0.1765536466798592,1,0.2431837566378948,3
racial,-0.06634418895137442,0.1916585281256523,1,0.2580027170770267,3
food,-0.06628391952590287,0.1946119178981561,1,0.260895837424059,3
mixed,-0.06619586364159613,0.198806898300194,1,0.2650027619417901,3
unfortunately,-0.0655859072619879,0.2248164958641349,1,0.2904024031261228,3
old,-0.06546960280581751,0.2274732232698586,4,0.2929428260756761,10
lady,-0.065440632500294,0.2304003126663697,1,0.2958409451666637,3
turning,-0.06472958607280521,0.2553613880073394,1,0.3200909740801446,3
bag,-0.06462580124621753,0.2587342944276961,1,0.3233600956739136,3
t,-0.06401300450970959,0.2299151775094846,9,0.2939281820191942,20
