word,man-npmi
0,0.1846265428298412
001,0.3372124111225044
01,0.2973549974633953
02,0.2861132871052471
05,0.3372124111225044
0627,0.36011354969971
1,0.2679214135403094
10,0.2836035213906958
1007,0.36011354969971
10200196698389097,0.36011354969971
1025670,0.36011354969971
109,0.3372124111225044
1099230950,0.36011354969971
11,0.2171443684458382
12,0.2236405257237632
14,0.2091826650129355
15,0.2771826581107651
15th,0.3372124111225044
17,0.2631817065597794
18,0.2396577817113422
1996,0.36011354969971
2,0.1486022987883279
20,0.2610976362567721
2001,0.2814062261274951
2010,0.3050823333639283
2010apr02,0.36011354969971
2011,0.2631817065597794
2014,0.2631817065597794
2015,0.304298067154123
207,0.3230399515735919
21,0.3296377112947106
21st,0.3230399515735919
23,0.2973549974633953
27,0.2814062261274951
3,0.2554294293403066
30,0.2990231666186345
32,0.3217721005263362
34,0.2913756775094773
35,0.2732420658933597
38,0.2732420658933597
4042081,0.36011354969971
4043040,0.36011354969971
44,0.2973549974633953
50,0.2196497407555599
560008_10200593451827685_1725723611_n,0.36011354969971
5824772,0.36011354969971
6,0.2836035213906958
603341,0.36011354969971
65,0.3372124111225044
659,0.36011354969971
674,0.36011354969971
6bt,0.36011354969971
75,0.26630272666862
84th,0.36011354969971
9,0.2102520279260342
_,0.1673363787652532
a,0.394082550595528
about,0.2057472703731162
ac,0.3126111926952041
accepted,0.2861132871052471
according,0.2343158808883137
accused,0.3852865970790704
ache,0.36011354969971
act,0.232651273116566
adolf,0.3372124111225044
adverts,0.3372124111225044
african,0.2343158808883137
after,0.2476659119336118
afternoon,0.2814062261274951
again,0.1721967210976735
against,0.2831748568984736
aged,0.3126111926952041
ages,0.26630272666862
aggressive,0.3126111926952041
ago,0.210745547060108
akem,0.36011354969971
albino,0.36011354969971
all,0.2601551760432657
allege,0.36011354969971
allegedly,0.304298067154123
almost,0.2581955298543221
along,0.2091826650129355
alot,0.2859346151985566
already,0.2601131405992128
alright,0.304298067154123
always,0.2616821281862846
am,0.2704685278610934
american,0.1799786891006271
americans,0.2378148121500867
among,0.2343158808883137
amsterdam,0.3372124111225044
an,0.3118073633333409
and,0.3788076357599954
anger,0.3126111926952041
angry,0.254877594461359
another,0.2996527038387512
anthropology,0.3230399515735919
anti,0.2615765535385675
antique,0.36011354969971
anus,0.36011354969971
any,0.1716109255571721
anyone,0.1951082341479919
anything,0.1599949857732677
anyway,0.2236405257237632
anyways,0.2861132871052471
apartment,0.2631817065597794
ape,0.2477813263045458
apprehend,0.36011354969971
apprehended,0.36011354969971
ar,0.2814062261274951
ararat,0.3372124111225044
archives,0.3126111926952041
are,0.2316742971974336
area,0.1581737219319172
arent,0.3230399515735919
armenia,0.3372124111225044
armenian,0.2861132871052471
armine,0.36011354969971
around,0.2191031989488727
arrest,0.2814062261274951
article,0.2183825773776606
as,0.2649406183048675
ash4,0.36011354969971
ashamed,0.3126111926952041
ashley,0.36011354969971
ashore,0.3372124111225044
asian,0.2877053823770273
asians,0.2012928440995046
ask,0.2196497407555599
asks,0.304298067154123
assault,0.2696441195203961
assaulted,0.3372124111225044
assumed,0.36011354969971
aswell,0.304298067154123
at,0.2439028168880399
atrabilious,0.3372124111225044
attack,0.2836035213906958
attacked,0.3155222705253469
attempted,0.3126111926952041
attempting,0.3230399515735919
attire,0.36011354969971
authors,0.3372124111225044
auto,0.3230399515735919
away,0.2678300615854975
b,0.2171443684458382
babies,0.2435564474808778
back,0.2323349239564345
backpack,0.3230399515735919
bad,0.1694494079794657
bakh,0.3372124111225044
ball,0.254877594461359
ballistic,0.3126111926952041
balls,0.2913756775094773
band,0.2102520279260342
bank,0.2771427067914289
bankers,0.3230399515735919
bar,0.2378148121500867
bart,0.36011354969971
bashing,0.36011354969971
bastard,0.304298067154123
bautista,0.3732382173665531
