word,npmi-bias,her-npmi,her-count,man-npmi,man-count
man,-0.4582856894174161,0.2305020738310772,5,0.6887877632484933,122
been,-0.187340534550348,0.1086019267651873,2,0.2959424613155353,8
men,-0.1844970705703125,0.1363253028740517,1,0.3208223734443642,5
re,-0.168158525315644,0.0853343338379676,1,0.2534928591536116,4
always,-0.1674871521534858,0.0941949760327988,1,0.2616821281862846,4
m,-0.16585164837668798,0.1525141957535644,4,0.3183658441302524,11
brown,-0.1646653490942699,0.1287717362547365,1,0.2934370853490064,4
crime,-0.16419587650814332,0.1341713283353302,1,0.2983672048434735,4
bus,-0.1590856805809738,0.1881002564887215,1,0.3471859370696953,4
accused,-0.15450643023424493,0.2307801668448255,1,0.3852865970790704,4
blacks,-0.1525256047075266,0.164360528705606,3,0.3168861334131326,8
whites,-0.1440996596651572,0.0485578498553355,1,0.1926575095204927,3
news,-0.1420097280010097,0.0846726822356001,1,0.2266824102366098,3
most,-0.1417336651120865,0.0890919530892188,1,0.2308256182013053,3
really,-0.1406842517082384,0.1052888330746886,1,0.245973084782927,3
3,-0.1399970435613849,0.1154323857789217,1,0.2554294293403066,3
tell,-0.13896427193209232,0.1300779670934884,1,0.2690422390255807,3
meet,-0.1386151813729368,0.1348809093452262,1,0.273496090718163,3
am,-0.13803582809887047,0.1324326997622229,2,0.2704685278610934,5
white,-0.1375466129066556,0.2852689252081899,32,0.4228155381148455,44
asian,-0.13746444058185142,0.1502409417951759,1,0.2877053823770273,3
cause,-0.13732046928179287,0.1521149981770965,1,0.2894354674588894,3
30,-0.13650737642364488,0.1625157901949896,1,0.2990231666186345,3
youtube,-0.1361201969096468,0.1788200420581942,7,0.314940238967841,13
killing,-0.13470291667578807,0.1845913047112482,1,0.3192942213870363,3
mail,-0.1344062832429285,0.1881002564887215,1,0.32250653973165,3
fun,-0.13391532767444989,0.1938395353068745,1,0.3277548629813244,3
21,-0.13373728489900388,0.1959004263957067,1,0.3296377112947106,3
y,-0.1329335555966249,0.2050743480522944,1,0.3380079036489193,3
tape,-0.1309645605580563,0.2267254718167879,1,0.3576900323748442,3
an,-0.13001921064934302,0.1817881526839979,6,0.3118073633333409,11
ex,-0.12969703538251579,0.2401088624228536,1,0.3698058978053694,3
black,-0.1287967557184112,0.2619460904732638,14,0.390742846191675,22
there,-0.11874259977652832,0.1539000498317594,7,0.2726426496082877,11
looking,-0.11613860195149059,0.1441608593208176,2,0.2602994612723082,4
non,-0.11591797418149238,0.1475359625240293,2,0.2634539367055217,4
times,-0.1148756250805407,0.1630807225866117,2,0.2779563476671524,4
