word,her-npmi
0,0.1348809093452262
000,0.1521149981770965
05,0.2933498404975982
1,0.1846459352630128
10,0.2282378022301576
11,0.1685235064731637
12,0.2566909812699956
13,0.2545124366542431
130,0.2676957755738872
15,0.2253532422754859
16,0.2002839129694801
17,0.2162724336970454
18,0.1918564453192716
1940,0.2785659300028224
1985,0.2933498404975982
2,0.2055436590661489
2010,0.2050743480522944
2014,0.2162724336970454
21,0.1959004263957067
2103,0.3172673163336049
24,0.2719834112145659
25962136,0.3172673163336049
27,0.2838907665388246
28,0.2307801668448255
3,0.1154323857789217
30,0.1625157901949896
300,0.2132297838077323
31,0.2518068891920725
4,0.1348809093452262
41,0.2676957755738872
43,0.3070478682701729
48,0.2676957755738872
5,0.1784661934227515
50,0.1711184258607827
6,0.19646749894264
7,0.1625157901949896
73,0.2785659300028224
8,0.2297292254869498
8475764,0.3172673163336049
88,0.1424736799017334
9,0.1613869531948864
97,0.2785659300028224
_,0.1170209844948849
a,0.3333178609459928
abominable,0.3172673163336049
about,0.2505300117547034
abusing,0.2933498404975982
account,0.1959004263957067
accused,0.2307801668448255
acres,0.2933498404975982
actions,0.2352132252962996
actors,0.2676957755738872
actual,0.2162724336970454
actually,0.1754268562294947
adamite,0.3172673163336049
add,0.1899451319500906
addressing,0.3172673163336049
administration,0.2590359782343009
adores,0.3172673163336049
african,0.2361823055641308
after,0.2146347654857166
again,0.173098180018062
age,0.270006212082904
aged,0.2676957755738872
ago,0.274522007281485
ah,0.2590359782343009
aim,0.2267254718167879
air,0.2498344674110956
alabama,0.2590359782343009
all,0.1761891522847942
allen,0.318854681559876
allow,0.2002839129694801
almost,0.1550437735221895
along,0.2106791958340836
alongside,0.2933498404975982
also,0.2136942975224378
although,0.2026232603438401
always,0.0941949760327988
am,0.1324326997622229
amazing,0.2103621108088606
america,0.1530750075925761
american,0.1300779670934884
among,0.1863170648879221
amount,0.2132297838077323
amy,0.2785659300028224
an,0.1817881526839979
ancestors,0.2132297838077323
and,0.3765288386234401
angela,0.2933498404975982
annabella,0.3172673163336049
another,0.2201957721852505
answer,0.2076492392768177
ant,0.2933498404975982
anti,0.173098180018062
antics,0.2933498404975982
any,0.1726126005321763
anymore,0.1797222467749297
anyone,0.0883932335471931
anything,0.2168930050961889
ap,0.2676957755738872
apart,0.2352132252962996
apartment,0.2960862752647537
apeling,0.3172673163336049
apparently,0.2498344674110956
april,0.2939785684705489
arab,0.2352132252962996
are,0.1631231594610624
area,0.1075643403830187
arms,0.2132297838077323
around,0.2479891925549923
arrest,0.2352132252962996
arrested,0.245551865070826
artic,0.3172673163336049
as,0.2246342215843322
ashes,0.2933498404975982
ashley,0.3172673163336049
asian,0.1502409417951759
aside,0.2676957755738872
ask,0.2527053575456485
asked,0.2002839129694801
ass,0.2002839129694801
assaulting,0.3070478682701729
aswell,0.2590359782343009
at,0.2722269264032489
attack,0.19646749894264
attacked,0.2654386050945823
attacking,0.2590359782343009
attempt,0.2590359782343009
attends,0.3172673163336049
attorney,0.3403033157512665
authorities,0.2267254718167879
auto,0.2785659300028224
autopsy,0.2933498404975982
ave,0.2785659300028224
away,0.2354960851767149
aww,0.2933498404975982
axis,0.2785659300028224
baba,0.2933498404975982
babies,0.1959004263957067
baby,0.3123109581185344
back,0.2909766725490071
backpack,0.2785659300028224
backs,0.2676957755738872
bad,0.1192025920264494
bag,0.2229863196519829
balkans,0.3172673163336049
banana,0.2933498404975982
bananas,0.3172673163336049
band,0.1613869531948864
bar,0.1899451319500906
barely,0.2401088624228536
barley,0.3172673163336049
barns,0.3172673163336049
basically,0.2162724336970454
be,0.2215683311451267
beast,0.2838907665388246
beat,0.23285797524353
beaten,0.2570259210843875
beating,0.2352132252962996
beautiful,0.2518220685141406
beauty,0.2785659300028224
became,0.2229863196519829
because,0.2245523690333376
bedroom,0.3000267765173718
been,0.1086019267651873
before,0.2111794032630075
begging,0.2590359782343009
behind,0.284432250237953
being,0.2176833516471089
belfast,0.2676957755738872
beliefs,0.2229863196519829
believe,0.1370605513380158
beside,0.2785659300028224
best,0.1355988296187797
better,0.179092432985179
big,0.1797251128313295
bigger,0.2195145574429774
birth,0.2267254718167879
bitch,0.2455838165117697
bitching,0.3172673163336049
black,0.2619460904732638
blacks,0.164360528705606
blanket,0.2785659300028224
blind,0.2401088624228536
blond,0.2570259210843875
blonde,0.3025085258353151
blonds,0.3172673163336049
blood,0.1540510701420501
blue,0.2055420751205895
boat,0.2401088624228536
bodies,0.3025085258353151
body,0.1863170648879221
boke,0.3172673163336049
born,0.1980459529545264
both,0.2316505184861853
bottom,0.2307801668448255
boy,0.1530750075925761
boyfriend,0.318854681559876
boyhowdy,0.3172673163336049
boys,0.1959004263957067
brady,0.2933498404975982
brain,0.2162724336970454
brand,0.2518068891920725
brat,0.2933498404975982
brawl,0.2676957755738872
break,0.2026232603438401
breed,0.2050743480522944
brethren,0.2590359782343009
bring,0.2609967014045114
brother,0.2213037055629449
brothers,0.1602799804313825
brought,0.2397305225472487
brown,0.1287717362547365
brutally,0.2676957755738872
btw,0.2026232603438401
bucks,0.2352132252962996
buisiness,0.3172673163336049
bukovina,0.3172673163336049
bulbous,0.3172673163336049
bulgarian,0.2307801668448255
bulk,0.2590359782343009
bullock,0.3172673163336049
bully,0.2785659300028224
bun,0.3172673163336049
burglarized,0.3172673163336049
burn,0.2229863196519829
bus,0.1881002564887215
bushes,0.3172673163336049
but,0.2370907276619539
butch,0.2933498404975982
butchy,0.3172673163336049
by,0.2732384424912961
ca,0.2092606790503416
call,0.1521149981770965
called,0.1924086969702104
calling,0.2685996463334225
came,0.2393407370284624
camera,0.279575300322966
can,0.2417394291913187
cant,0.1581281258449573
car,0.2871991399210667
care,0.1999291895580106
cared,0.2933498404975982
carrots,0.2933498404975982
carry,0.2521191825483822
cart,0.3172673163336049
cartoons,0.2933498404975982
case,0.254001484673012
cat,0.2939785684705489
caught,0.2640744517621393
cauldrons,0.3172673163336049
cause,0.1521149981770965
cd,0.2933498404975982
cds,0.2785659300028224
certainly,0.2026232603438401
chance,0.2050743480522944
change,0.1685235064731637
changed,0.2307801668448255
channel,0.1959004263957067
charge,0.2103621108088606
charged,0.2887861888511929
charges,0.2307801668448255
cheap,0.1959004263957067
check,0.1857347346295071
checked,0.2307801668448255
checking,0.2676957755738872
chest,0.2676957755738872
chick,0.2933498404975982
child,0.2820217781880322
children,0.1897457885997843
chin,0.2933498404975982
chinese,0.1845913047112482
chosen,0.2455838165117697
cite,0.2933498404975982
citizen,0.2518068891920725
city,0.1256215153397414
civil,0.2307801668448255
claims,0.2026232603438401
class,0.2106791958340836
classes,0.2026232603438401
classmate,0.2933498404975982
clean,0.1863170648879221
clever,0.3172673163336049
clinton,0.2590359782343009
close,0.254001484673012
closet,0.2676957755738872
club,0.2518068891920725
coat,0.2590359782343009
college,0.1416699620150681
color,0.1948103575568244
colorado,0.2455838165117697
com,0.1972972391532616
come,0.2300866395112608
coming,0.1432883201425236
commercials,0.2676957755738872
common,0.1918564453192716
community,0.2055420751205895
complaining,0.2676957755738872
complains,0.3172673163336049
complex,0.2518068891920725
computer,0.2026232603438401
concerned,0.2352132252962996
concert,0.2676957755738872
condition,0.2785659300028224
confrontingthe,0.3172673163336049
connection,0.2352132252962996
conslour,0.3172673163336049
contacting,0.2933498404975982
container,0.2933498404975982
contaminating,0.2933498404975982
contestant,0.3172673163336049
continue,0.2379264171138733
continues,0.2590359782343009
control,0.1812971759177526
convicting,0.3172673163336049
cook,0.3000267765173718
cookies,0.2933498404975982
coon,0.2307801668448255
could,0.2260391469338375
countries,0.1511704854038926
country,0.1402530492752893
counts,0.2590359782343009
county,0.2096139776966211
courier,0.2785659300028224
courses,0.2401088624228536
court,0.2545124366542431
cover,0.2162724336970454
covers,0.2785659300028224
crack,0.2455838165117697
crawl,0.2785659300028224
creatures,0.2229863196519829
