word,they-pmi
the,2.411014043798165
to,2.676704014926456
i,2.146515216816978
and,2.740284183251294
a,2.437989746459751
of,2.6007741111787697
in,2.610367905371242
is,2.306481745765584
it,2.627777951157233
that,2.82962036892382
you,2.2225241223459924
for,2.5536595121559422
are,3.396601348977897
have,3.049674282429085
on,2.6985998980472443
they,4.597364964968447
this,2.325676764377177
white,2.650343762508155
s,2.4548170433171657
with,2.9398736564663075
was,2.12077046361916
my,2.2629336606838693
all,3.0651076401821173
be,3.197062049882255
but,2.8803505348048697
as,2.966443628279361
not,2.9147058188821098
like,2.959102752382557
t,3.072576046715769
we,2.3194858301887904
do,3.313387164767869
or,2.8741648013427583
if,3.142978389490157
there,2.558546415202584
n,3.1213662108852014
their,3.5471531228073947
just,3.011476654792676
at,2.749270243951655
will,3.0966512529247896
so,3.086096617731806
from,2.562204761894441
your,2.237172973980715
out,2.9533213404479293
people,3.0613116888516667
them,3.4296212924546965
about,2.9465283185784195
me,2.252179524278493
up,2.9679691815881983
one,2.786499282067727
youtube,0.7738594304996438
would,2.7057091030263427
can,3.093325279991068
get,3.143861497488786
who,2.780882788114194
here,2.4248463458466167
by,2.7500190272138965
what,3.1213662108852014
when,3.361646044442398
no,3.0194745425654523
our,2.8745299726013944
some,2.653104997827597
black,2.965024181625135
more,2.943753782082521
an,2.4547737663880898
see,2.628166049480345
good,2.5701012021671987
m,1.846645319607855
he,2.012192134165983
www,1.7634478636012516
has,2.0561230633917096
whites,3.1820511627067822
know,3.110050672892625
how,3.318664221868713
com,1.7974505428494518
go,3.106489701925077
been,2.750268746281245
time,2.707195072323035
other,2.7643534861629835
think,3.374041691337667
had,3.0201712333127166
were,3.535335258677305
new,2.154052491423357
her,2.046483167516244
only,3.1450954561843534
then,3.290807267365747
school,2.858208957491672
these,3.1066939711526285
should,3.27974880561904
back,2.841740149778404
any,2.67876155582758
want,3.3577316900596226
because,3.69572985545518
us,3.2335064135284064
say,3.217393691462412
than,3.117993526406562
few,2.666008402663505
http,1.8228513349423323
well,2.838610256769476
those,3.079772313586364
now,2.8288920073005546
race,2.7476197381096674
many,2.803404001034857
too,2.497683669798883
old,2.059121566387966
very,2.4645866744961307
day,2.564608288221775
his,2.4966260282407475
way,2.983126128239297
its,2.5106777816963977
kids,3.3420844960768115
year,2.035832842630457
years,2.6159015826093257
she,1.88309881174204
around,3.1740829930576058
where,3.040551600433083
even,2.965467542306305
never,2.910733021265356
over,2.8103107872481115
into,2.980209824043509
got,2.357637596153167
blacks,3.282296577697838
am,2.1939407891969176
down,2.937764020584831
could,3.004455395083504
every,3.125816252087771
need,2.866305056602686
ve,2.666759999842817
video,1.7835242331512573
going,2.918504165990242
great,2.241443123181921
same,3.250841625529952
news,2.2577922611834507
find,3.025441969041317
look,3.025441969041317
re,3.9338498609589454
did,3.1617163374203936
also,2.585397047519342
make,3.1066939711526285
anyone,2.514291406198544
watch,2.5773149394908903
country,2.7779856349530414
live,2.465431625961695
most,2.7373653414453365
own,3.2481909652113274
last,2.1777495535099143
much,3.1645135420414547
being,2.846248046217594
first,2.6734303970046653
hope,2.7796677211360263
ll,3.114863633397634
why,3.187824620909902
looking,2.151732689223126
him,2.5454743336352315
always,2.7750487752797315
off,3.449350662361004
world,2.564892419492333
dont,3.056957635820193
home,2.9835156121780084
show,3.301969343296544
non,2.947600540477881
right,2.947600540477881
take,3.2199926943616832
thread,1.4417469443003514
2,1.9185765386164864
ever,2.8974507567924097
two,2.7001279050999427
let,2.714312540091899
which,2.832706664680736
post,1.9749294751676183
1,1.9749294751676183
ireland,2.7359740368730785
thing,3.001129186267251
stormfront,1.8559968819642485
jews,2.9131991137605486
im,2.4824161976680945
come,3.543310403067458
man,2.337834968856987
before,2.830311453954781
said,3.205640833465317
put,3.125598125791781
something,2.8455789260855697
ago,2.447835864071316
really,2.8610831126215346
little,3.030982149416932
does,2.065901253373345
maybe,3.030982149416932
children,3.030982149416932
