word,them-npmi
00,0.1138349858963879
041809,0.2674079942464537
1,0.1234535168817594
10,0.1886579189265733
12,0.1231020577787363
13,0.1531858688521825
15,0.1683386104450079
150,0.194237077216473
16,0.1483455310242797
17,0.1645122678572513
178,0.2674079942464537
19,0.1531858688521825
1920,0.2167354933363622
1940,0.2278192372712629
1million,0.2674079942464537
1st,0.2195180882474517
2,0.1588075535024455
20,0.1796961471819871
200,0.1792105752169058
20s,0.2167354933363622
22,0.1677945945116543
24,0.1713109289595973
24th,0.2429186914831749
2508,0.1126278961788674
3,0.176067561246139
30,0.1102882984755312
300,0.1614331362251914
30c,0.2674079942464537
30s,0.2516931261034109
311,0.2278192372712629
4,0.12826332108786
40,0.1483455310242797
400,0.2278192372712629
40mm,0.2674079942464537
40s,0.2429186914831749
5,0.120935441737862
50,0.1189405367794999
50f,0.2674079942464537
5352185,0.2674079942464537
549,0.2674079942464537
6,0.1886579189265733
7,0.1556889390331076
700,0.194237077216473
7k,0.2674079942464537
828,0.2278192372712629
99,0.1677945945116543
a,0.334621731423196
abc25,0.2674079942464537
able,0.2267022623909999
about,0.2780734113857783
above,0.1260616043173855
absolutely,0.1507088746343415
acadamys,0.2674079942464537
accept,0.1614331362251914
acceptable,0.188676356928201
accepted,0.2328408098808085
accepting,0.2278192372712629
accident,0.2382928018548609
accomplished,0.2167354933363622
according,0.1342502180956238
accordingly,0.2429186914831749
account,0.1439189966742015
accross,0.2674079942464537
accusing,0.2674079942464537
achievement,0.2167354933363622
across,0.2195657200305011
act,0.2430654440875204
acting,0.1531858688521825
action,0.2040648057475785
acts,0.1837073566841597
actuallly,0.2674079942464537
actually,0.2223136238158289
ad,0.2235537227009271
add,0.1829376249420317
addressed,0.2429186914831749
adjust,0.2674079942464537
adjustment,0.2674079942464537
adopting,0.2429186914831749
ads,0.2167354933363622
adversary,0.2278192372712629
advocates,0.2429186914831749
affirmative,0.194237077216473
afraid,0.2195180882474517
afreaka,0.2674079942464537
africa,0.225872138109071
african,0.1793319051498856
africans,0.2283605825391105
after,0.1947701543046673
again,0.1654515910662947
against,0.2157668304107199
agane,0.2674079942464537
age,0.207229223168838
agendas,0.2429186914831749
agent,0.2278192372712629
ages,0.1677945945116543
aginst,0.2674079942464537
ago,0.1657687871048889
agree,0.1743437149348438
agreed,0.1713109289595973
ahem,0.2674079942464537
aided,0.2429186914831749
aids,0.2440089066021117
air,0.1932153140495547
aka,0.2079166848164765
alabama,0.2079166848164765
albanians,0.2167354933363622
alberta,0.2005624124550455
alien,0.2603230003531172
aliens,0.2167354933363622
all,0.2854297022622449
alliance,0.1792105752169058
allow,0.2211259591775661
allowed,0.1439189966742015
allowing,0.194237077216473
allows,0.2429186914831749
allways,0.2674079942464537
almost,0.2144969614050092
alone,0.1948183273251497
along,0.1818118562986164
alot,0.1325103427838458
already,0.1048277256245284
als,0.2429186914831749
also,0.2464691763531102
always,0.2205320849780963
am,0.1805055426268242
ambulance,0.2674079942464537
america,0.1747275219844665
american,0.1234995360214594
americans,0.1379092195809141
ammo,0.2195180882474517
among,0.1342502180956238
amongst,0.1585321846689164
an,0.204850746901027
ancestors,0.1614331362251914
and,0.3895322656092198
anger,0.2167354933363622
angry,0.2005394586518299
animal,0.1483455310242797
animalistic,0.2674079942464537
animals,0.1776169405802866
annie,0.2674079942464537
annoying,0.2005624124550455
another,0.1879183925142237
answer,0.1557888176532048
answered,0.2167354933363622
answers,0.2674079942464537
anthropologists,0.2674079942464537
anti,0.1967818666866579
any,0.2560932900160964
anybody,0.1585321846689164
anymore,0.1727789171110973
anyone,0.2487061987466438
anything,0.2079947271181057
anyway,0.1683386104450079
anywhere,0.1507088746343415
apathy,0.2429186914831749
apelanta,0.2674079942464537
apes,0.1439189966742015
apparently,0.2211259591775661
appartement,0.2674079942464537
applaud,0.2674079942464537
approach,0.2429186914831749
approached,0.2674079942464537
arabs,0.1677945945116543
are,0.3307114967617365
area,0.1684164285925576
areas,0.1677945945116543
argent,0.2674079942464537
argue,0.2516931261034109
arguing,0.2429186914831749
argument,0.188676356928201
