word,npmi-bias,her-npmi,her-count,straight-npmi,straight-count
straight,-0.5468275173972243,0.1980459529545264,1,0.7448734703517508,21
god,-0.27744239932327014,0.1244046486671533,1,0.4018470479904234,2
either,-0.27108176983900834,0.1613869531948864,1,0.4324687230338948,2
ran,-0.2612135353335703,0.2132297838077323,1,0.4744433191413026,2
left,-0.2250594697662855,0.1843470372711924,2,0.4094065070374779,2
point,-0.2228956231820959,0.198172737698001,2,0.4210683608800969,2
face,-0.22088126157174673,0.2106791958340836,2,0.4315604574058303,2
there,-0.22039379167323062,0.1539000498317594,7,0.37429384150499,4
male,-0.21995343338338733,0.2163302333629423,2,0.4362836667463296,2
news,-0.2109558035244728,0.0846726822356001,1,0.2956284857600729,1
anyone,-0.2105838714705034,0.0883932335471931,1,0.2989771050176965,1
much,-0.2104779889336868,0.089444013579755,1,0.2999220025134418,1
something,-0.208930979832759,0.1044002858460218,1,0.3133312656787808,1
https,-0.2083410521132258,0.1099220210384043,1,0.3182630731516301,1
please,-0.2070111576056864,0.122039507018873,1,0.3290506646245594,1
nationalist,-0.20632463093421297,0.1281288008006838,1,0.3344534317348968,1
once,-0.2060263347494299,0.1307415753894848,1,0.3367679101389147,1
problem,-0.20484812006029657,0.1408768564518783,1,0.3457249765121749,1
college,-0.2047545114702925,0.1416699620150681,1,0.3464244734853606,1
88,-0.2046594418535512,0.1424736799017334,1,0.3471331217552846,1
without,-0.20361732405852467,0.1511704854038926,1,0.3547878094624173,1
almost,-0.20314532252744738,0.1550437735221895,1,0.3581890960496369,1
job,-0.2026342060584121,0.159193982916155,1,0.3618281889745671,1
gets,-0.2026342060584121,0.159193982916155,1,0.3618281889745671,1
band,-0.20236189346981318,0.1613869531948864,1,0.3637488466646996,1
local,-0.20236189346981318,0.1613869531948864,1,0.3637488466646996,1
power,-0.20162376789282418,0.1672697443381548,1,0.368893512230979,1
info,-0.2011348651626819,0.1711184258607827,1,0.3722532910234646,1
fear,-0.199606330926733,0.1829191563895051,1,0.3825254873162381,1
add,-0.19867524180308088,0.1899451319500906,1,0.3886203737531715,1
wow,-0.19867524180308088,0.1899451319500906,1,0.3886203737531715,1
throw,-0.19787380920467967,0.1959004263957067,1,0.3937742356003864,1
ass,-0.19727675474422832,0.2002839129694801,1,0.3975606677137084,1
doubt,-0.19727675474422832,0.2002839129694801,1,0.3975606677137084,1
although,-0.1969556483899053,0.2026232603438401,1,0.3995789087337454,1
station,-0.19625995400569982,0.2076492392768177,1,0.4039091932825175,1
tall,-0.1950479074709039,0.2162724336970454,1,0.4113203411679493,1
shop,-0.19458620160190057,0.2195145574429774,1,0.414100759044878,1
beliefs,-0.194088165389527,0.2229863196519829,1,0.4170744850415099,1
bag,-0.194088165389527,0.2229863196519829,1,0.4170744850415099,1
became,-0.194088165389527,0.2229863196519829,1,0.4170744850415099,1
people,-0.19384023766101802,0.1914249348771838,9,0.3852651725382018,4
negroid,-0.1929564813497719,0.2307801668448255,1,0.4237366481945974,1
28,-0.1929564813497719,0.2307801668448255,1,0.4237366481945974,1
wind,-0.1915772306584074,0.2401088624228536,1,0.431686093081261,1
powerful,-0.1915772306584074,0.2401088624228536,1,0.431686093081261,1
barely,-0.1915772306584074,0.2401088624228536,1,0.431686093081261,1
successful,-0.1907552734042443,0.2455838165117697,1,0.436339089916014,1
all,-0.1865161834635457,0.1761891522847942,10,0.3627053357483399,4
do,-0.18504786705990497,0.1876983070687471,10,0.3727461741286521,4
buisiness,-0.1791546425906832,0.3172673163336049,1,0.4964219589242881,1
down,-0.17569872870580047,0.1901221893277151,4,0.3658209180335156,2
into,-0.1725106331660529,0.2370528577203672,7,0.4095634908864201,3
nothing,-0.17216425797624832,0.2187591471587523,4,0.3909234051350006,2
saw,-0.17216425797624832,0.2187591471587523,4,0.3909234051350006,2
more,-0.16543382410421778,0.2053860976432341,8,0.3708199217474519,3
you,-0.1647490656059398,0.1495712009864474,13,0.3143202665923872,4
its,-0.1601984891617493,0.1270979764581092,2,0.2872964656198585,1
look,-0.1593679120441833,0.1365578004814003,2,0.2959257125255836,1
looking,-0.15868430797679492,0.1441608593208176,2,0.3028451672976125,1
world,-0.1584810011540747,0.1463919273960006,2,0.3048729285500753,1
should,-0.15826545532019418,0.1908430964683945,5,0.3491085517885887,2
